"ple0081_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2002","West Germany","12241","0.693586613977416","0.686793771077102","0.700379456877731","2"
"No","2002","East Germany","3848","0.704696478372253","0.692589775389213","0.716803181355293","2"
"Yes","2002","West Germany","5452","0.306413386022584","0.299620543122269","0.313206228922899","1"
"Yes","2002","East Germany","1606","0.295303521627747","0.283196818644707","0.307410224610787","1"
"No","2003","West Germany","","","","","2"
"No","2003","East Germany","","","","","2"
"Yes","2003","West Germany","","","","","1"
"Yes","2003","East Germany","","","","","1"
"No","2004","West Germany","11554","0.699795599209087","0.69278925749217","0.706801940926004","2"
"No","2004","East Germany","3723","0.707119120193906","0.694799668379119","0.719438572008694","2"
"Yes","2004","West Germany","4886","0.300204400790913","0.293198059073996","0.30721074250783","1"
"Yes","2004","East Germany","1519","0.292880879806094","0.280561427991306","0.305200331620881","1"
"No","2005","West Germany","","","","","2"
"No","2005","East Germany","","","","","2"
"Yes","2005","West Germany","","","","","1"
"Yes","2005","East Germany","","","","","1"
"No","2006","West Germany","11934","0.694476688525111","0.687502799165863","0.701450577884359","2"
"No","2006","East Germany","3817","0.716258332482812","0.704115737458888","0.728400927506735","2"
"Yes","2006","West Germany","4825","0.305523311474889","0.298549422115641","0.312497200834137","1"
"Yes","2006","East Germany","1478","0.283741667517188","0.271599072493265","0.295884262541112","1"
"No","2007","West Germany","","","","","2"
"No","2007","East Germany","","","","","2"
"Yes","2007","West Germany","","","","","1"
"Yes","2007","East Germany","","","","","1"
"No","2008","West Germany","10694","0.715879072493659","0.708568343194187","0.723189801793132","2"
"No","2008","East Germany","3495","0.716752638912438","0.703987388743619","0.729517889081257","2"
"Yes","2008","West Germany","3925","0.284120927506341","0.276810198206868","0.291431656805813","1"
"Yes","2008","East Germany","1291","0.283247361087562","0.270482110918743","0.296012611256381","1"
"No","2009","West Germany","","","","","2"
"No","2009","East Germany","","","","","2"
"Yes","2009","West Germany","","","","","1"
"Yes","2009","East Germany","","","","","1"
"No","2010","West Germany","9326","0.727782111018922","0.720006294684067","0.735557927353777","2"
"No","2010","East Germany","3045","0.739888022190035","0.726521573921897","0.753254470458174","2"
"Yes","2010","West Germany","3261","0.272217888981078","0.264442072646223","0.279993705315933","1"
"Yes","2010","East Germany","1093","0.260111977809965","0.246745529541826","0.273478426078103","1"
"No","2011","West Germany","","","","","2"
"No","2011","East Germany","","","","","2"
"Yes","2011","West Germany","","","","","1"
"Yes","2011","East Germany","","","","","1"
"No","2012","West Germany","11723","0.737585226000986","0.730696018344175","0.744474433657796","2"
"No","2012","East Germany","3519","0.72395159835111","0.711376804965084","0.736526391737135","2"
"Yes","2012","West Germany","3943","0.262414773999014","0.255525566342204","0.269303981655825","1"
"Yes","2012","East Germany","1336","0.27604840164889","0.263473608262865","0.288623195034916","1"
"No","2013","West Germany","","","","","2"
"No","2013","East Germany","","","","","2"
"Yes","2013","West Germany","","","","","1"
"Yes","2013","East Germany","","","","","1"
"No","2014","West Germany","15756","0.73748417864365","0.731611210226079","0.74335714706122","2"
"No","2014","East Germany","3972","0.710055504728333","0.698172701981211","0.721938307475455","2"
"Yes","2014","West Germany","5806","0.26251582135635","0.25664285293878","0.268388789773921","1"
"Yes","2014","East Germany","1629","0.289944495271667","0.278061692524545","0.301827298018789","1"
"No","2015","West Germany","","","","","2"
"No","2015","East Germany","","","","","2"
"Yes","2015","West Germany","","","","","1"
"Yes","2015","East Germany","","","","","1"
"No","2016","West Germany","14314","0.751068526969993","0.744954619184085","0.757182434755902","2"
"No","2016","East Germany","3631","0.716180173949151","0.703746716321241","0.728613631577061","2"
"Yes","2016","West Germany","4900","0.248931473030007","0.242817565244098","0.255045380815915","1"
"Yes","2016","East Germany","1420","0.283819826050849","0.271386368422939","0.296253283678759","1"
"No","2017","West Germany","","","","","2"
"No","2017","East Germany","","","","","2"
"Yes","2017","West Germany","","","","","1"
"Yes","2017","East Germany","","","","","1"
"No","2018","West Germany","15215","0.755464082155234","0.749532167224256","0.761395997086213","2"
"No","2018","East Germany","3957","0.731455726777801","0.71975440680152","0.743157046754082","2"
"Yes","2018","West Germany","4953","0.244535917844766","0.238604002913787","0.250467832775744","1"
"Yes","2018","East Germany","1554","0.268544273222199","0.256842953245918","0.28024559319848","1"
