"pli0080","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","West Germany","39","0.189355777656655","0.128837079197214","0.249874476116097"
"Daily","1990","in school","East Germany","","","",""
"Daily","1990","inadequately","West Germany","72","0.117817078258396","0.0927812581641267","0.142852898352665"
"Daily","1990","inadequately","East Germany","","","",""
"Daily","1990","general elemantary","West Germany","227","0.0696825005635457","0.0596496186198816","0.0797153825072099"
"Daily","1990","general elemantary","East Germany","","","",""
"Daily","1990","middle vocational","West Germany","224","0.0390490865225588","0.0334217484660138","0.0446764245791039"
"Daily","1990","middle vocational","East Germany","","","",""
"Daily","1990","vocational + Abi","West Germany","13","","",""
"Daily","1990","vocational + Abi","East Germany","","","",""
"Daily","1990","higher vocational","West Germany","12","","",""
"Daily","1990","higher vocational","East Germany","","","",""
"Daily","1990","higher education","West Germany","23","","",""
"Daily","1990","higher education","East Germany","","","",""
"Min 1x per week","1990","in school","West Germany","82","0.549854756605314","0.473006241757054","0.626703271453575"
"Min 1x per week","1990","in school","East Germany","","","",""
"Min 1x per week","1990","inadequately","West Germany","345","0.490183043401463","0.451362227850684","0.529003858952242"
"Min 1x per week","1990","inadequately","East Germany","","","",""
"Min 1x per week","1990","general elemantary","West Germany","1065","0.370708394943964","0.35167613227075","0.389740657617177"
"Min 1x per week","1990","general elemantary","East Germany","","","",""
"Min 1x per week","1990","middle vocational","West Germany","1885","0.389719032626386","0.375551713222256","0.403886352030517"
"Min 1x per week","1990","middle vocational","East Germany","","","",""
"Min 1x per week","1990","vocational + Abi","West Germany","148","0.480040961602561","0.422932805195575","0.537149118009548"
"Min 1x per week","1990","vocational + Abi","East Germany","","","",""
"Min 1x per week","1990","higher vocational","West Germany","189","0.364182887096717","0.322542449765967","0.405823324427466"
"Min 1x per week","1990","higher vocational","East Germany","","","",""
"Min 1x per week","1990","higher education","West Germany","305","0.438234781018971","0.401452356872883","0.475017205165058"
"Min 1x per week","1990","higher education","East Germany","","","",""
"Min 1x per month","1990","in school","West Germany","25","","",""
"Min 1x per month","1990","in school","East Germany","","","",""
"Min 1x per month","1990","inadequately","West Germany","123","0.206978185280759","0.175516409662851","0.238439960898667"
"Min 1x per month","1990","inadequately","East Germany","","","",""
"Min 1x per month","1990","general elemantary","West Germany","596","0.276005454774094","0.258390776187891","0.293620133360297"
"Min 1x per month","1990","general elemantary","East Germany","","","",""
"Min 1x per month","1990","middle vocational","West Germany","1399","0.311837304922989","0.298380047454773","0.325294562391205"
"Min 1x per month","1990","middle vocational","East Germany","","","",""
"Min 1x per month","1990","vocational + Abi","West Germany","81","0.29371442251187","0.241651657300876","0.345777187722865"
"Min 1x per month","1990","vocational + Abi","East Germany","","","",""
"Min 1x per month","1990","higher vocational","West Germany","176","0.326730850809614","0.286144609091599","0.367317092527628"
"Min 1x per month","1990","higher vocational","East Germany","","","",""
"Min 1x per month","1990","higher education","West Germany","242","0.349515186874866","0.314167491021442","0.384862882728291"
"Min 1x per month","1990","higher education","East Germany","","","",""
"Rarely","1990","in school","West Germany","13","","",""
"Rarely","1990","in school","East Germany","","","",""
"Rarely","1990","inadequately","West Germany","73","0.129350574398912","0.103289986147966","0.155411162649857"
"Rarely","1990","inadequately","East Germany","","","",""
"Rarely","1990","general elemantary","West Germany","487","0.234240610613887","0.217551795459529","0.250929425768245"
"Rarely","1990","general elemantary","East Germany","","","",""
"Rarely","1990","middle vocational","West Germany","941","0.230083855197995","0.217857084978428","0.242310625417563"
"Rarely","1990","middle vocational","East Germany","","","",""
"Rarely","1990","vocational + Abi","West Germany","45","0.151247735226028","0.110292508074141","0.192202962377914"
"Rarely","1990","vocational + Abi","East Germany","","","",""
"Rarely","1990","higher vocational","West Germany","125","0.257157999794022","0.21933659520504","0.294979404383004"
"Rarely","1990","higher vocational","East Germany","","","",""
"Rarely","1990","higher education","West Germany","121","0.167266162126125","0.139598870008505","0.194933454243745"
"Rarely","1990","higher education","East Germany","","","",""
"Never","1990","in school","West Germany","2","","",""
"Never","1990","in school","East Germany","","","",""
"Never","1990","inadequately","West Germany","24","","",""
"Never","1990","inadequately","East Germany","","","",""
"Never","1990","general elemantary","West Germany","99","0.0493630391045095","0.0408269972451864","0.0578990809638325"
"Never","1990","general elemantary","East Germany","","","",""
"Never","1990","middle vocational","West Germany","103","0.0293107207300708","0.0244106727826238","0.0342107686775178"
"Never","1990","middle vocational","East Germany","","","",""
"Never","1990","vocational + Abi","West Germany","7","","",""
"Never","1990","vocational + Abi","East Germany","","","",""
"Never","1990","higher vocational","West Germany","11","","",""
"Never","1990","higher vocational","East Germany","","","",""
"Never","1990","higher education","West Germany","8","","",""
"Never","1990","higher education","East Germany","","","",""
"Daily","1991","in school","West Germany","","","",""
"Daily","1991","in school","East Germany","","","",""
"Daily","1991","inadequately","West Germany","","","",""
"Daily","1991","inadequately","East Germany","","","",""
"Daily","1991","general elemantary","West Germany","","","",""
"Daily","1991","general elemantary","East Germany","","","",""
"Daily","1991","middle vocational","West Germany","","","",""
"Daily","1991","middle vocational","East Germany","","","",""
"Daily","1991","vocational + Abi","West Germany","","","",""
"Daily","1991","vocational + Abi","East Germany","","","",""
"Daily","1991","higher vocational","West Germany","","","",""
"Daily","1991","higher vocational","East Germany","","","",""
"Daily","1991","higher education","West Germany","","","",""
"Daily","1991","higher education","East Germany","","","",""
"Min 1x per week","1991","in school","West Germany","","","",""
"Min 1x per week","1991","in school","East Germany","","","",""
"Min 1x per week","1991","inadequately","West Germany","","","",""
"Min 1x per week","1991","inadequately","East Germany","","","",""
"Min 1x per week","1991","general elemantary","West Germany","","","",""
"Min 1x per week","1991","general elemantary","East Germany","","","",""
"Min 1x per week","1991","middle vocational","West Germany","","","",""
"Min 1x per week","1991","middle vocational","East Germany","","","",""
"Min 1x per week","1991","vocational + Abi","West Germany","","","",""
"Min 1x per week","1991","vocational + Abi","East Germany","","","",""
"Min 1x per week","1991","higher vocational","West Germany","","","",""
"Min 1x per week","1991","higher vocational","East Germany","","","",""
"Min 1x per week","1991","higher education","West Germany","","","",""
