"year","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2006","direct migration background","7.2","8","2378","7.12","7.28","4","6","9","10"
"2006","indirect migration background","7.6","8","816","7.47","7.73","5","7","9","10"
"2006","no migration background","7.46","8","18760","7.43","7.49","5","7","9","10"
"2007","direct migration background","","","","","","","","",""
"2007","indirect migration background","","","","","","","","",""
"2007","no migration background","","","","","","","","",""
"2008","direct migration background","","","","","","","","",""
"2008","indirect migration background","","","","","","","","",""
"2008","no migration background","","","","","","","","",""
"2009","direct migration background","","","","","","","","",""
"2009","indirect migration background","","","","","","","","",""
"2009","no migration background","","","","","","","","",""
"2010","direct migration background","","","","","","","","",""
"2010","indirect migration background","","","","","","","","",""
"2010","no migration background","","","","","","","","",""
"2011","direct migration background","7.46","8","2896","7.39","7.53","5","6","9","10"
"2011","indirect migration background","7.87","8","1213","7.77","7.97","5","7","9","10"
"2011","no migration background","7.58","8","21680","7.56","7.6","5","7","9","10"
"2012","direct migration background","7.99","8","1101","7.88","8.1","5","7","9","10"
"2012","indirect migration background","8.2","8","483","8.05","8.35","6","7","10","10"
"2012","no migration background","8.07","8","5555","8.02","8.12","6","7","9","10"
"2013","direct migration background","8","8","1006","7.89","8.11","5","7","9","10"
"2013","indirect migration background","8.05","8","487","7.9","8.2","6","7","9","10"
"2013","no migration background","8.05","8","5312","8","8.1","6","7","9","10"
"2014","direct migration background","","","","","","","","",""
"2014","indirect migration background","","","","","","","","",""
"2014","no migration background","","","","","","","","",""
"2015","direct migration background","","","","","","","","",""
"2015","indirect migration background","","","","","","","","",""
"2015","no migration background","","","","","","","","",""
"2016","direct migration background","7.63","8","4775","7.57","7.69","5","7","9","10"
"2016","indirect migration background","7.92","8","1545","7.83","8.01","6","7","9","10"
"2016","no migration background","7.61","8","17840","7.58","7.64","5","7","9","10"
