"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","4.02","4","5191","2","3","5","6","3.98","4.06","4","4"
"2005","lower secondary degree","4.24","4","7082","2","3","6","6","4.2","4.28","4","4"
"2005","no degree/no degree yet","4.05","4","903","2","3","6","6","3.94","4.16","4","4"
"2005","Other degree","4.36","4","1116","2","3","6","7","4.26","4.46","4","5"
"2005","secondary school degree","4.07","4","6018","2","3","5","6","4.03","4.11","4","4"
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","",""
"2009","college entrance qualification","3.99","4","4884","2","3","5","6","3.95","4.03","4","4"
"2009","lower secondary degree","4.22","4","5898","2","3","5","6","4.18","4.26","4","4"
"2009","no degree/no degree yet","4.07","4","482","2","3","5","6","3.92","4.22","4","4"
"2009","Other degree","4.19","4","801","2","3","6","6","4.08","4.3","4","4"
"2009","secondary school degree","4.09","4","5395","2","3","5","6","4.05","4.13","4","4"
"2010","college entrance qualification","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","3.74","4","2144","2","2","5","6","3.67","3.81","4","4"
"2012","lower secondary degree","3.86","4","1407","1","3","5","6","3.77","3.95","4","4"
"2012","no degree/no degree yet","3.61","4","352","1","2","5","6","3.43","3.79","3","4"
"2012","Other degree","4.1","4","676","2","3","5","6","3.97","4.23","4","4"
"2012","secondary school degree","3.74","4","2385","1","2","5","6","3.67","3.81","4","4"
"2013","college entrance qualification","4.04","4","5383","2","3","5","6","4","4.08","4","4"
"2013","lower secondary degree","4.35","4","5821","2","3","6","6","4.31","4.39","4","4"
"2013","no degree/no degree yet","3.92","4","486","1","3","5","6","3.77","4.07","4","4"
"2013","Other degree","4.18","4","1015","2","3","5","6","4.08","4.28","4","4"
"2013","secondary school degree","4.14","4","5629","2","3","5","6","4.1","4.18","4","4"
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","","","",""
"2015","Other degree","","","","","","","","","","",""
"2015","secondary school degree","","","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","",""
"2017","college entrance qualification","3.98","4","7945","2","3","5","6","3.95","4.01","4","4"
"2017","lower secondary degree","4.24","4","6098","2","3","5","6","4.2","4.28","4","4"
"2017","no degree/no degree yet","3.99","4","1839","1","3","5","6","3.9","4.08","4","4"
"2017","Other degree","4.17","4","4509","2","3","5","6","4.12","4.22","4","4"
"2017","secondary school degree","3.99","4","7606","2","3","5","6","3.95","4.03","4","4"
"2018","college entrance qualification","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","","","",""
"2018","Other degree","","","","","","","","","","",""
"2018","secondary school degree","","","","","","","","","","",""
"2019","college entrance qualification","3.92","4","8538","2","3","5","6","3.89","3.95","4","4"
"2019","lower secondary degree","4.1","4","5304","2","3","5","6","4.06","4.14","4","4"
"2019","no degree/no degree yet","3.86","4","775","1","2","5","6","3.74","3.98","4","4"
"2019","Other degree","4.05","4","2547","2","3","5","6","3.98","4.12","4","4"
"2019","secondary school degree","3.94","4","7420","2","3","5","6","3.9","3.98","4","4"
