"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","Female","6.13","6","2475","6.09","6.17","5","6","7","7"
"2005","college entrance qualification","Male","6.1","6","2719","6.06","6.14","5","6","7","7"
"2005","lower secondary degree","Female","6.2","7","3618","6.16","6.24","5","6","7","7"
"2005","lower secondary degree","Male","6.25","7","3441","6.21","6.29","5","6","7","7"
"2005","no degree/no degree yet","Female","5.77","6","481","5.66","5.88","4","5","7","7"
"2005","no degree/no degree yet","Male","5.56","6","419","5.44","5.68","4","5","7","7"
"2005","Other degree","Female","6.24","7","587","6.15","6.33","5","6","7","7"
"2005","Other degree","Male","5.94","6","532","5.84","6.04","4","5","7","7"
"2005","secondary school degree","Female","6.27","7","3445","6.24","6.3","5","6","7","7"
"2005","secondary school degree","Male","6.27","6","2568","6.23","6.31","5","6","7","7"
"2006","college entrance qualification","Female","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","",""
"2009","college entrance qualification","Female","6.1","6","2369","6.06","6.14","5","6","7","7"
"2009","college entrance qualification","Male","5.95","6","2519","5.91","5.99","5","5","7","7"
"2009","lower secondary degree","Female","6.15","7","2997","6.11","6.19","5","6","7","7"
"2009","lower secondary degree","Male","6.11","6","2895","6.07","6.15","5","6","7","7"
"2009","no degree/no degree yet","Female","5.64","6","238","5.48","5.8","4","5","7","7"
"2009","no degree/no degree yet","Male","5.53","6","246","5.36","5.7","4","5","7","7"
"2009","Other degree","Female","6.26","7","430","6.16","6.36","5","6","7","7"
"2009","Other degree","Male","6.05","6","368","5.93","6.17","4","5","7","7"
"2009","secondary school degree","Female","6.25","7","3117","6.22","6.28","5","6","7","7"
"2009","secondary school degree","Male","6.15","6","2289","6.11","6.19","5","6","7","7"
"2010","college entrance qualification","Female","","","","","","","","",""
"2010","college entrance qualification","Male","","","","","","","","",""
"2010","lower secondary degree","Female","","","","","","","","",""
"2010","lower secondary degree","Male","","","","","","","","",""
"2010","no degree/no degree yet","Female","","","","","","","","",""
"2010","no degree/no degree yet","Male","","","","","","","","",""
"2010","Other degree","Female","","","","","","","","",""
"2010","Other degree","Male","","","","","","","","",""
"2010","secondary school degree","Female","","","","","","","","",""
"2010","secondary school degree","Male","","","","","","","","",""
"2011","college entrance qualification","Female","","","","","","","","",""
