"year","migback","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","Female","6.18","6","1250","6.12","6.24","5","6","7","7"
"2005","direct migration background","Male","6.08","6","1110","6.01","6.15","4","6","7","7"
"2005","indirect migration background","Female","6.1","6","426","5.99","6.21","5","6","7","7"
"2005","indirect migration background","Male","5.85","6","403","5.73","5.97","4","5","7","7"
"2005","no migration background","Female","6.2","7","9116","6.18","6.22","5","6","7","7"
"2005","no migration background","Male","6.19","6","8365","6.17","6.21","5","6","7","7"
"2006","direct migration background","Female","","","","","","","","",""
"2006","direct migration background","Male","","","","","","","","",""
"2006","indirect migration background","Female","","","","","","","","",""
"2006","indirect migration background","Male","","","","","","","","",""
"2006","no migration background","Female","","","","","","","","",""
"2006","no migration background","Male","","","","","","","","",""
"2007","direct migration background","Female","","","","","","","","",""
"2007","direct migration background","Male","","","","","","","","",""
"2007","indirect migration background","Female","","","","","","","","",""
"2007","indirect migration background","Male","","","","","","","","",""
"2007","no migration background","Female","","","","","","","","",""
"2007","no migration background","Male","","","","","","","","",""
"2008","direct migration background","Female","","","","","","","","",""
"2008","direct migration background","Male","","","","","","","","",""
"2008","indirect migration background","Female","","","","","","","","",""
"2008","indirect migration background","Male","","","","","","","","",""
"2008","no migration background","Female","","","","","","","","",""
"2008","no migration background","Male","","","","","","","","",""
"2009","direct migration background","Female","6.18","7","892","6.11","6.25","5","6","7","7"
"2009","direct migration background","Male","6.12","6","755","6.04","6.2","5","6","7","7"
"2009","indirect migration background","Female","6.21","7","369","6.11","6.31","5","6","7","7"
"2009","indirect migration background","Male","5.83","6","343","5.7","5.96","4","5","7","7"
"2009","no migration background","Female","6.14","6","8131","6.12","6.16","5","6","7","7"
"2009","no migration background","Male","6.05","6","7483","6.03","6.07","5","6","7","7"
"2010","direct migration background","Female","","","","","","","","",""
"2010","direct migration background","Male","","","","","","","","",""
"2010","indirect migration background","Female","","","","","","","","",""
"2010","indirect migration background","Male","","","","","","","","",""
"2010","no migration background","Female","","","","","","","","",""
"2010","no migration background","Male","","","","","","","","",""
"2011","direct migration background","Female","","","","","","","","",""
"2011","direct migration background","Male","","","","","","","","",""
"2011","indirect migration background","Female","","","","","","","","",""
"2011","indirect migration background","Male","","","","","","","","",""
"2011","no migration background","Female","","","","","","","","",""
"2011","no migration background","Male","","","","","","","","",""
"2012","direct migration background","Female","6.18","7","605","6.09","6.27","5","6","7","7"
"2012","direct migration background","Male","6.26","7","485","6.17","6.35","5","6","7","7"
"2012","indirect migration background","Female","6.13","6","287","6.01","6.25","5","5","7","7"
"2012","indirect migration background","Male","5.95","6","197","5.8","6.1","5","5","7","7"
"2012","no migration background","Female","6.17","6","3344","6.14","6.2","5","6","7","7"
"2012","no migration background","Male","6.08","6","2210","6.04","6.12","5","6","7","7"
"2013","direct migration background","Female","6.26","7","949","6.2","6.32","5","6","7","7"
"2013","direct migration background","Male","6.16","6","728","6.08","6.24","5","6","7","7"
"2013","indirect migration background","Female","6.04","6","370","5.93","6.15","4","6","7","7"
"2013","indirect migration background","Male","6.09","6","345","5.99","6.19","5","6","7","7"
"2013","no migration background","Female","6.21","6","8700","6.19","6.23","5","6","7","7"
"2013","no migration background","Male","6.11","6","7751","6.09","6.13","5","6","7","7"
"2014","direct migration background","Female","","","","","","","","",""
"2014","direct migration background","Male","","","","","","","","",""
"2014","indirect migration background","Female","","","","","","","","",""
"2014","indirect migration background","Male","","","","","","","","",""
"2014","no migration background","Female","","","","","","","","",""
"2014","no migration background","Male","","","","","","","","",""
"2015","direct migration background","Female","","","","","","","","",""
"2015","direct migration background","Male","","","","","","","","",""
"2015","indirect migration background","Female","","","","","","","","",""
"2015","indirect migration background","Male","","","","","","","","",""
"2015","no migration background","Female","","","","","","","","",""
"2015","no migration background","Male","","","","","","","","",""
"2016","direct migration background","Female","","","","","","","","",""
"2016","direct migration background","Male","","","","","","","","",""
"2016","indirect migration background","Female","","","","","","","","",""
"2016","indirect migration background","Male","","","","","","","","",""
"2016","no migration background","Female","","","","","","","","",""
"2016","no migration background","Male","","","","","","","","",""
"2017","direct migration background","Female","6.17","6","3506","6.14","6.2","5","6","7","7"
"2017","direct migration background","Male","6.15","6","3718","6.12","6.18","5","6","7","7"
"2017","indirect migration background","Female","6.08","6","923","6.01","6.15","5","6","7","7"
"2017","indirect migration background","Male","5.74","6","786","5.66","5.82","4","5","7","7"
"2017","no migration background","Female","6.13","6","10836","6.11","6.15","5","6","7","7"
"2017","no migration background","Male","6","6","9440","5.98","6.02","5","6","7","7"
"2018","direct migration background","Female","","","","","","","","",""
"2018","direct migration background","Male","","","","","","","","",""
"2018","indirect migration background","Female","","","","","","","","",""
"2018","indirect migration background","Male","","","","","","","","",""
"2018","no migration background","Female","","","","","","","","",""
"2018","no migration background","Male","","","","","","","","",""
"2019","direct migration background","Female","6.21","7","2094","6.17","6.25","5","6","7","7"
"2019","direct migration background","Male","6.11","6","1730","6.06","6.16","5","6","7","7"
"2019","indirect migration background","Female","6.23","6","900","6.16","6.3","5","6","7","7"
"2019","indirect migration background","Male","5.86","6","798","5.79","5.93","4","5","7","7"
"2019","no migration background","Female","6.15","6","10449","6.13","6.17","5","6","7","7"
"2019","no migration background","Male","6","6","9767","5.98","6.02","5","6","7","7"
