"year","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","5.79","6","5193","5.76","5.82","4","5","7","7"
"2005","lower secondary degree","5.72","6","7048","5.69","5.75","4","5","7","7"
"2005","no degree/no degree yet","5.38","5","894","5.3","5.46","4","5","6","7"
"2005","Other degree","5.67","6","1101","5.6","5.74","4","5","7","7"
"2005","secondary school degree","5.89","6","6004","5.86","5.92","5","5","7","7"
"2006","college entrance qualification","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","",""
"2006","Other degree","","","","","","","","",""
"2006","secondary school degree","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","",""
"2007","Other degree","","","","","","","","",""
"2007","secondary school degree","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","",""
"2008","Other degree","","","","","","","","",""
"2008","secondary school degree","","","","","","","","",""
"2009","college entrance qualification","5.72","6","4888","5.69","5.75","4","5","6","7"
"2009","lower secondary degree","5.68","6","5884","5.65","5.71","4","5","7","7"
"2009","no degree/no degree yet","5.36","6","481","5.25","5.47","4","4","6","7"
"2009","Other degree","5.56","6","799","5.47","5.65","4","5","7","7"
"2009","secondary school degree","5.82","6","5397","5.79","5.85","4","5","7","7"
"2010","college entrance qualification","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","",""
"2010","Other degree","","","","","","","","",""
"2010","secondary school degree","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","",""
"2011","Other degree","","","","","","","","",""
"2011","secondary school degree","","","","","","","","",""
"2012","college entrance qualification","5.79","6","2145","5.75","5.83","5","5","6","7"
"2012","lower secondary degree","5.8","6","1405","5.74","5.86","4","5","7","7"
"2012","no degree/no degree yet","5.35","5","350","5.22","5.48","4","5","6","7"
"2012","Other degree","5.73","6","674","5.64","5.82","4","5","7","7"
"2012","secondary school degree","5.94","6","2385","5.9","5.98","5","5","7","7"
"2013","college entrance qualification","5.78","6","5384","5.75","5.81","5","5","6","7"
"2013","lower secondary degree","5.76","6","5804","5.73","5.79","4","5","7","7"
"2013","no degree/no degree yet","5.31","5","485","5.2","5.42","4","5","6","7"
"2013","Other degree","5.72","6","1009","5.65","5.79","4","5","7","7"
"2013","secondary school degree","5.86","6","5628","5.83","5.89","5","5","7","7"
"2014","college entrance qualification","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","",""
"2014","Other degree","","","","","","","","",""
"2014","secondary school degree","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","",""
"2015","Other degree","","","","","","","","",""
"2015","secondary school degree","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","",""
"2016","Other degree","","","","","","","","",""
"2016","secondary school degree","","","","","","","","",""
"2017","college entrance qualification","5.69","6","7945","5.67","5.71","4","5","6","7"
"2017","lower secondary degree","5.73","6","6077","5.7","5.76","4","5","7","7"
"2017","no degree/no degree yet","5.51","6","1844","5.45","5.57","4","5","6","7"
"2017","Other degree","5.75","6","4536","5.72","5.78","4","5","7","7"
"2017","secondary school degree","5.83","6","7610","5.81","5.85","5","5","7","7"
"2018","college entrance qualification","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","",""
"2018","Other degree","","","","","","","","",""
"2018","secondary school degree","","","","","","","","",""
"2019","college entrance qualification","5.7","6","8544","5.68","5.72","4","5","6","7"
"2019","lower secondary degree","5.72","6","5290","5.69","5.75","4","5","7","7"
"2019","no degree/no degree yet","5.64","6","777","5.55","5.73","4","5","7","7"
"2019","Other degree","5.74","6","2542","5.7","5.78","4","5","7","7"
"2019","secondary school degree","5.82","6","7417","5.8","5.84","4","5","7","7"
