"plb0219","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","Urban Area","3766","0.610837480533453","0.59858518328346","0.623089777783446"
"No, never","2005","no migration background","Rural Area","1925","0.585240126175932","0.568259898945021","0.602220353406843"
"No, never","2005","direct migration background","Urban Area","691","0.688279933130174","0.659264992957789","0.717294873302559"
"No, never","2005","direct migration background","Rural Area","124","0.697787700732089","0.630326228838397","0.765249172625781"
"No, never","2005","indirect migration background","Urban Area","270","0.636033986773004","0.58870541326798","0.683362560278027"
"No, never","2005","indirect migration background","Rural Area","41","0.702867028158602","0.58422934089149","0.821504715425715"
"Yes, every week","2005","no migration background","Urban Area","339","0.054142306911701","0.0484554740908372","0.0598291397325648"
"Yes, every week","2005","no migration background","Rural Area","223","0.0815465341965451","0.0721144120596917","0.0909786563333985"
"Yes, every week","2005","direct migration background","Urban Area","50","0.0529831083464373","0.0389516011118864","0.0670146155809882"
"Yes, every week","2005","direct migration background","Rural Area","7","","",""
"Yes, every week","2005","indirect migration background","Urban Area","27","","",""
"Yes, every week","2005","indirect migration background","Rural Area","1","","",""
"Yes, every 2 weeks","2005","no migration background","Urban Area","506","0.0941554538164793","0.0868164221732609","0.101494485459698"
"Yes, every 2 weeks","2005","no migration background","Rural Area","286","0.0912723217224532","0.0813465448027563","0.10119809864215"
"Yes, every 2 weeks","2005","direct migration background","Urban Area","72","0.0859479010165718","0.068390514995109","0.103505287038035"
"Yes, every 2 weeks","2005","direct migration background","Rural Area","16","","",""
"Yes, every 2 weeks","2005","indirect migration background","Urban Area","32","0.0840201619392612","0.0567311662983889","0.111309157580134"
"Yes, every 2 weeks","2005","indirect migration background","Rural Area","7","","",""
"Yes, every 3-4 weeks","2005","no migration background","Urban Area","300","0.051827710857807","0.04625695884676","0.0573984628688541"
"Yes, every 3-4 weeks","2005","no migration background","Rural Area","187","0.0639327506276915","0.0555014746822518","0.0723640265731311"
"Yes, every 3-4 weeks","2005","direct migration background","Urban Area","51","0.0543866747448104","0.040181067927969","0.0685922815616519"
"Yes, every 3-4 weeks","2005","direct migration background","Rural Area","9","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","Urban Area","21","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","Rural Area","2","","",""
"Rarely","2005","no migration background","Urban Area","1172","0.18903704788056","0.179197771650117","0.198876324111003"
"Rarely","2005","no migration background","Rural Area","613","0.178008267277378","0.164824731733018","0.191191802821737"
"Rarely","2005","direct migration background","Urban Area","115","0.118402382762007","0.0981641694009194","0.138640596123094"
"Rarely","2005","direct migration background","Rural Area","22","","",""
"Rarely","2005","indirect migration background","Urban Area","47","0.121901591595205","0.0897183992669773","0.154084783923434"
"Rarely","2005","indirect migration background","Rural Area","6","","",""
"No, never","2006","no migration background","Urban Area","","","",""
"No, never","2006","no migration background","Rural Area","","","",""
"No, never","2006","direct migration background","Urban Area","","","",""
"No, never","2006","direct migration background","Rural Area","","","",""
"No, never","2006","indirect migration background","Urban Area","","","",""
"No, never","2006","indirect migration background","Rural Area","","","",""
"Yes, every week","2006","no migration background","Urban Area","","","",""
