"plb0219","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","Full Time","1211","0.617369603650611","0.595457728522486","0.639281478778736"
"No, never","2005","16-34 y.","Part Time","696","0.665457833888208","0.636754316617422","0.694161351158994"
"No, never","2005","16-34 y.","Not Working","79","0.762651805901789","0.679677520381354","0.845626091422224"
"No, never","2005","35-65 y.","Full Time","3029","0.554959198800815","0.541691849905131","0.5682265476965"
"No, never","2005","35-65 y.","Part Time","1663","0.716410503268121","0.698057332004272","0.734763674531969"
"No, never","2005","35-65 y.","Not Working","46","0.717591625657322","0.606429899348553","0.828753351966091"
"No, never","2005","66 and older","Full Time","14","","",""
"No, never","2005","66 and older","Part Time","76","0.76427460754373","0.678469712719858","0.850079502367603"
"No, never","2005","66 and older","Not Working","3","","",""
"Yes, every week","2005","16-34 y.","Full Time","106","0.0587496793688673","0.0481480526708589","0.0693513060668756"
"Yes, every week","2005","16-34 y.","Part Time","61","0.0613955573217772","0.0467919821661855","0.0759991324773688"
"Yes, every week","2005","16-34 y.","Not Working","3","","",""
"Yes, every week","2005","35-65 y.","Full Time","369","0.0647490798875159","0.0581795456377823","0.0713186141372495"
"Yes, every week","2005","35-65 y.","Part Time","86","0.0445847871663554","0.0361810105626168","0.0529885637700939"
"Yes, every week","2005","35-65 y.","Not Working","8","","",""
"Yes, every week","2005","66 and older","Full Time","7","","",""
"Yes, every week","2005","66 and older","Part Time","7","","",""
"Yes, every week","2005","66 and older","Not Working","","","",""
"Yes, every 2 weeks","2005","16-34 y.","Full Time","165","0.099204207347954","0.0857271396735775","0.11268127502233"
"Yes, every 2 weeks","2005","16-34 y.","Part Time","112","0.100652612518335","0.0823494692623418","0.118955755774329"
"Yes, every 2 weeks","2005","16-34 y.","Not Working","7","","",""
"Yes, every 2 weeks","2005","35-65 y.","Full Time","451","0.0955699216164314","0.0877211476554398","0.103418695577423"
"Yes, every 2 weeks","2005","35-65 y.","Part Time","177","0.0801461440952507","0.0690904552529553","0.0912018329375461"
"Yes, every 2 weeks","2005","35-65 y.","Not Working","2","","",""
"Yes, every 2 weeks","2005","66 and older","Full Time","3","","",""
"Yes, every 2 weeks","2005","66 and older","Part Time","2","","",""
"Yes, every 2 weeks","2005","66 and older","Not Working","","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","Full Time","101","0.0531214829020824","0.0430103593884852","0.0632326064156795"
"Yes, every 3-4 weeks","2005","16-34 y.","Part Time","54","0.071226894189841","0.0555800688883024","0.0868737194913796"
"Yes, every 3-4 weeks","2005","16-34 y.","Not Working","4","","",""
"Yes, every 3-4 weeks","2005","35-65 y.","Full Time","331","0.0674321841192667","0.0607375394124772","0.0741268288260562"
"Yes, every 3-4 weeks","2005","35-65 y.","Part Time","78","0.0330603662620974","0.0257802454675431","0.0403404870566517"
"Yes, every 3-4 weeks","2005","35-65 y.","Not Working","2","","",""
"Yes, every 3-4 weeks","2005","66 and older","Full Time","","","",""
"Yes, every 3-4 weeks","2005","66 and older","Part Time","","","",""
"Yes, every 3-4 weeks","2005","66 and older","Not Working","","","",""
"Rarely","2005","16-34 y.","Full Time","307","0.171555026730486","0.154558869251642","0.188551184209329"
"Rarely","2005","16-34 y.","Part Time","115","0.101267102081839","0.082914446055268","0.11961975810841"
"Rarely","2005","16-34 y.","Not Working","8","","",""
"Rarely","2005","35-65 y.","Full Time","1210","0.217289615575971","0.206279959764299","0.228299271387642"
"Rarely","2005","35-65 y.","Part Time","313","0.125798199208176","0.112295265527394","0.139301132888958"
"Rarely","2005","35-65 y.","Not Working","5","","",""
"Rarely","2005","66 and older","Full Time","8","","",""
"Rarely","2005","66 and older","Part Time","9","","",""
"Rarely","2005","66 and older","Not Working","","","",""
"No, never","2006","16-34 y.","Full Time","","","",""
"No, never","2006","16-34 y.","Part Time","","","",""
"No, never","2006","16-34 y.","Not Working","","","",""
"No, never","2006","35-65 y.","Full Time","","","",""
"No, never","2006","35-65 y.","Part Time","","","",""
"No, never","2006","35-65 y.","Not Working","","","",""
"No, never","2006","66 and older","Full Time","","","",""
"No, never","2006","66 and older","Part Time","","","",""
"No, never","2006","66 and older","Not Working","","","",""
"Yes, every week","2006","16-34 y.","Full Time","","","",""
"Yes, every week","2006","16-34 y.","Part Time","","","",""
"Yes, every week","2006","16-34 y.","Not Working","","","",""
