"year","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","4.8","5","20741","4.78","4.82","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2006","","","","","","","","",""
"2007","","","","","","","","",""
"2008","","","","","","","","",""
"2009","4.73","4.67","18043","4.71","4.75","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2010","","","","","","","","",""
"2011","","","","","","","","",""
"2012","5.07","5","7131","5.04","5.1","3.66666674613953","4.33333349227905","6","6.66666650772095"
"2013","4.82","5","18896","4.8","4.84","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2014","","","","","","","","",""
"2015","","","","","","","","",""
"2016","","","","","","","","",""
"2017","4.86","5","29327","4.85","4.87","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2018","","","","","","","","",""
"2019","4.86","5","25818","4.85","4.87","3.33333325386047","4","5.66666650772095","6.33333349227905"
