"year","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","3.2","3","20654","3.18","3.22","1","2","4","6"
"2006","","","","","","","","",""
"2007","","","","","","","","",""
"2008","","","","","","","","",""
"2009","","","","","","","","",""
"2010","3.24","3","16668","3.21","3.27","1","2","4","6"
"2011","","","","","","","","",""
"2012","","","","","","","","",""
"2013","","","","","","","","",""
"2014","","","","","","","","",""
"2015","2.83","2","26699","2.81","2.85","1","1","4","5"
"2016","2.22","1","4298","2.17","2.27","1","1","3","5"
"2017","1.76","1","2810","1.71","1.81","1","1","2","4"
"2018","1.9","1","410","1.74","2.06","1","1","2","5"
"2019","1.81","1","270","1.61","2.01","1","1","2","4"
