"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","Female","3.27","3","2768","1","2","4","5","7","3.21","3.33","1","7","3","3"
"2005","16-34 y.","Male","3.67","4","2543","1","2","5","6","7","3.6","3.74","1","7","4","4"
"2005","35-65 y.","Female","3.05","3","5964","1","1","4","6","7","3.01","3.09","1","7","3","3"
"2005","35-65 y.","Male","3.43","3","5611","1","2","5","6","7","3.38","3.48","1","7","3","3"
"2005","66 and older","Female","2.63","2","2045","1","1","4","5","7","2.56","2.7","1","7","2","2"
"2005","66 and older","Male","3.02","3","1723","1","1","4","6","7","2.93","3.11","1","7","3","3"
"2006","16-34 y.","Female","","","","","","","","","","","","","",""
"2006","16-34 y.","Male","","","","","","","","","","","","","",""
"2006","35-65 y.","Female","","","","","","","","","","","","","",""
"2006","35-65 y.","Male","","","","","","","","","","","","","",""
"2006","66 and older","Female","","","","","","","","","","","","","",""
"2006","66 and older","Male","","","","","","","","","","","","","",""
"2007","16-34 y.","Female","","","","","","","","","","","","","",""
"2007","16-34 y.","Male","","","","","","","","","","","","","",""
"2007","35-65 y.","Female","","","","","","","","","","","","","",""
"2007","35-65 y.","Male","","","","","","","","","","","","","",""
"2007","66 and older","Female","","","","","","","","","","","","","",""
"2007","66 and older","Male","","","","","","","","","","","","","",""
"2008","16-34 y.","Female","","","","","","","","","","","","","",""
"2008","16-34 y.","Male","","","","","","","","","","","","","",""
"2008","35-65 y.","Female","","","","","","","","","","","","","",""
"2008","35-65 y.","Male","","","","","","","","","","","","","",""
"2008","66 and older","Female","","","","","","","","","","","","","",""
"2008","66 and older","Male","","","","","","","","","","","","","",""
"2009","16-34 y.","Female","","","","","","","","","","","","","",""
"2009","16-34 y.","Male","","","","","","","","","","","","","",""
"2009","35-65 y.","Female","","","","","","","","","","","","","",""
"2009","35-65 y.","Male","","","","","","","","","","","","","",""
"2009","66 and older","Female","","","","","","","","","","","","","",""
"2009","66 and older","Male","","","","","","","","","","","","","",""
"2010","16-34 y.","Female","3.26","3","1859","1","2","4","5","7","3.19","3.33","1","7","3","3"
"2010","16-34 y.","Male","3.59","4","1721","1","2","5","6","7","3.51","3.67","1","7","3","4"
"2010","35-65 y.","Female","3.05","3","4761","1","2","4","5","7","3","3.1","1","7","3","3"
"2010","35-65 y.","Male","3.47","3","4302","1","2","5","6","7","3.42","3.52","1","7","3","3"
"2010","66 and older","Female","2.86","3","2110","1","1","4","5","7","2.79","2.93","1","7","2","3"
"2010","66 and older","Male","3.23","3","1915","1","2","4","6","7","3.15","3.31","1","7","3","3"
"2011","16-34 y.","Female","","","","","","","","","","","","","",""
"2011","16-34 y.","Male","","","","","","","","","","","","","",""
"2011","35-65 y.","Female","","","","","","","","","","","","","",""
"2011","35-65 y.","Male","","","","","","","","","","","","","",""
"2011","66 and older","Female","","","","","","","","","","","","","",""
"2011","66 and older","Male","","","","","","","","","","","","","",""
"2012","16-34 y.","Female","","","","","","","","","","","","","",""
"2012","16-34 y.","Male","","","","","","","","","","","","","",""
"2012","35-65 y.","Female","","","","","","","","","","","","","",""
"2012","35-65 y.","Male","","","","","","","","","","","","","",""
"2012","66 and older","Female","","","","","","","","","","","","","",""
"2012","66 and older","Male","","","","","","","","","","","","","",""
"2013","16-34 y.","Female","","","","","","","","","","","","","",""
"2013","16-34 y.","Male","","","","","","","","","","","","","",""
"2013","35-65 y.","Female","","","","","","","","","","","","","",""
"2013","35-65 y.","Male","","","","","","","","","","","","","",""
"2013","66 and older","Female","","","","","","","","","","","","","",""
"2013","66 and older","Male","","","","","","","","","","","","","",""
"2014","16-34 y.","Female","","","","","","","","","","","","","",""
"2014","16-34 y.","Male","","","","","","","","","","","","","",""
"2014","35-65 y.","Female","","","","","","","","","","","","","",""
"2014","35-65 y.","Male","","","","","","","","","","","","","",""
"2014","66 and older","Female","","","","","","","","","","","","","",""
"2014","66 and older","Male","","","","","","","","","","","","","",""
"2015","16-34 y.","Female","2.58","2","3601","1","1","3","5","7","2.53","2.63","1","7","2","2"
"2015","16-34 y.","Male","3.03","3","3030","1","2","4","5","7","2.97","3.09","1","7","2","3"
"2015","35-65 y.","Female","2.66","2","8287","1","1","4","5","7","2.63","2.69","1","7","2","2"
"2015","35-65 y.","Male","3.07","3","6842","1","2","4","5","7","3.03","3.11","1","7","3","3"
"2015","66 and older","Female","2.63","2","2530","1","1","4","5","7","2.57","2.69","1","7","2","2"
