"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","Female","2.86","2","1246","1","1","4","5","2.76","2.96","2","3"
"2005","direct migration background","Male","3.19","3","1112","1","2","4","6","3.08","3.3","3","3"
"2005","indirect migration background","Female","3.23","3","426","1","2","4","6","3.06","3.4","3","3"
"2005","indirect migration background","Male","3.76","4","402","1","2","5","7","3.59","3.93","3","4"
"2005","no migration background","Female","3.01","3","9105","1","2","4","5","2.98","3.04","3","3"
"2005","no migration background","Male","3.44","3","8363","1","2","5","6","3.4","3.48","3","3"
"2006","direct migration background","Female","","","","","","","","","","",""
"2006","direct migration background","Male","","","","","","","","","","",""
"2006","indirect migration background","Female","","","","","","","","","","",""
"2006","indirect migration background","Male","","","","","","","","","","",""
"2006","no migration background","Female","","","","","","","","","","",""
"2006","no migration background","Male","","","","","","","","","","",""
"2007","direct migration background","Female","","","","","","","","","","",""
"2007","direct migration background","Male","","","","","","","","","","",""
"2007","indirect migration background","Female","","","","","","","","","","",""
"2007","indirect migration background","Male","","","","","","","","","","",""
"2007","no migration background","Female","","","","","","","","","","",""
"2007","no migration background","Male","","","","","","","","","","",""
"2008","direct migration background","Female","","","","","","","","","","",""
"2008","direct migration background","Male","","","","","","","","","","",""
"2008","indirect migration background","Female","","","","","","","","","","",""
"2008","indirect migration background","Male","","","","","","","","","","",""
"2008","no migration background","Female","","","","","","","","","","",""
"2008","no migration background","Male","","","","","","","","","","",""
"2009","direct migration background","Female","","","","","","","","","","",""
"2009","direct migration background","Male","","","","","","","","","","",""
"2009","indirect migration background","Female","","","","","","","","","","",""
"2009","indirect migration background","Male","","","","","","","","","","",""
"2009","no migration background","Female","","","","","","","","","","",""
"2009","no migration background","Male","","","","","","","","","","",""
"2010","direct migration background","Female","2.98","3","798","1","1","4","6","2.86","3.1","2","3"
"2010","direct migration background","Male","3.44","3","659","1","2","5","6","3.31","3.57","3","3"
"2010","indirect migration background","Female","3.41","3","344","1","2","4","6","3.23","3.59","3","3"
"2010","indirect migration background","Male","3.55","3","314","1","2","5","6","3.36","3.74","3","4"
"2010","no migration background","Female","3.03","3","7588","1","2","4","5","2.99","3.07","3","3"
"2010","no migration background","Male","3.44","3","6965","1","2","5","6","3.4","3.48","3","3"
"2011","direct migration background","Female","","","","","","","","","","",""
"2011","direct migration background","Male","","","","","","","","","","",""
"2011","indirect migration background","Female","","","","","","","","","","",""
"2011","indirect migration background","Male","","","","","","","","","","",""
"2011","no migration background","Female","","","","","","","","","","",""
"2011","no migration background","Male","","","","","","","","","","",""
"2012","direct migration background","Female","","","","","","","","","","",""
"2012","direct migration background","Male","","","","","","","","","","",""
"2012","indirect migration background","Female","","","","","","","","","","",""
"2012","indirect migration background","Male","","","","","","","","","","",""
"2012","no migration background","Female","","","","","","","","","","",""
"2012","no migration background","Male","","","","","","","","","","",""
"2013","direct migration background","Female","","","","","","","","","","",""
"2013","direct migration background","Male","","","","","","","","","","",""
"2013","indirect migration background","Female","","","","","","","","","","",""
"2013","indirect migration background","Male","","","","","","","","","","",""
"2013","no migration background","Female","","","","","","","","","","",""
"2013","no migration background","Male","","","","","","","","","","",""
"2014","direct migration background","Female","","","","","","","","","","",""
"2014","direct migration background","Male","","","","","","","","","","",""
"2014","indirect migration background","Female","","","","","","","","","","",""
"2014","indirect migration background","Male","","","","","","","","","","",""
"2014","no migration background","Female","","","","","","","","","","",""
"2014","no migration background","Male","","","","","","","","","","",""
"2015","direct migration background","Female","2.5","2","3110","1","1","3","5","2.44","2.56","2","2"
"2015","direct migration background","Male","2.85","2","2655","1","1","4","5","2.78","2.92","2","2"
"2015","indirect migration background","Female","2.74","2","914","1","1","4","5","2.63","2.85","2","2"
"2015","indirect migration background","Male","3.12","3","770","1","2","4","6","2.99","3.25","2","3"
"2015","no migration background","Female","2.66","2","10394","1","1","4","5","2.63","2.69","2","2"
"2015","no migration background","Male","3.06","3","8856","1","2","4","5","3.03","3.09","3","3"
"2016","direct migration background","Female","2.08","1","1617","1","1","3","5","2","2.16","1","1"
"2016","direct migration background","Male","2.15","1","2650","1","1","3","5","2.09","2.21","1","1"
"2016","indirect migration background","Female","","","","","","","","","","",""
"2016","indirect migration background","Male","","","","","","","","","","",""
"2016","no migration background","Female","","","","","","","","","","",""
"2016","no migration background","Male","","","","","","","","","","",""
"2017","direct migration background","Female","1.7","1","1198","1","1","2","4","1.62","1.78","1","1"
"2017","direct migration background","Male","1.79","1","1612","1","1","2","4","1.72","1.86","1","1"
"2017","indirect migration background","Female","","","","","","","","","","",""
"2017","indirect migration background","Male","","","","","","","","","","",""
"2017","no migration background","Female","","","","","","","","","","",""
"2017","no migration background","Male","","","","","","","","","","",""
"2018","direct migration background","Female","1.9","1","221","1","1","2","4","1.68","2.12","1","1"
"2018","direct migration background","Male","1.9","1","189","1","1","2","5","1.66","2.14","1","1"
"2018","indirect migration background","Female","","","","","","","","","","",""
"2018","indirect migration background","Male","","","","","","","","","","",""
"2018","no migration background","Female","","","","","","","","","","",""
"2018","no migration background","Male","","","","","","","","","","",""
"2019","direct migration background","Female","1.69","1","139","1","1","2","3","1.43","1.95","1","2"
"2019","direct migration background","Male","1.95","1","131","1","1","3","4","1.64","2.26","1","2"
"2019","indirect migration background","Female","","","","","","","","","","",""
"2019","indirect migration background","Male","","","","","","","","","","",""
"2019","no migration background","Female","","","","","","","","","","",""
"2019","no migration background","Male","","","","","","","","","","",""
