"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(0) in school","Female","","","","","","","","","","","","","",""
"1990","(0) in school","Male","","","","","","","","","","","","","",""
"1990","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1990","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1990","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1990","(1b) general elementary school","Male","","","","","","","","","","","","","",""
"1990","(1c) basic vocational qualification","Female","7.76","8","87","3","7","10","10","10","7.16","8.36","0","10","8","10"
"1990","(1c) basic vocational qualification","Male","7.73","9","134","3","6","10","10","10","7.25","8.21","0","10","8","10"
"1990","(2a) intermediate vocational","Female","7.58","8","357","4","6","10","10","10","7.3","7.86","0","10","8","9"
"1990","(2a) intermediate vocational","Male","7.52","8","368","4","6","10","10","10","7.25","7.79","0","10","8","9"
"1990","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1990","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1990","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1990","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1990","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1990","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1990","(3a) lower tertiary education","Female","7.88","8","209","5","7","10","10","10","7.58","8.18","0","10","8","9"
"1990","(3a) lower tertiary education","Male","7.82","8","73","3","7","10","10","10","7.28","8.36","0","10","8","9"
"1990","(3b) higher tertiary education","Female","7.08","8","71","3","6","9","10","10","6.48","7.68","1","10","7","8"
"1990","(3b) higher tertiary education","Male","6.77","7","82","4","5","8","10","10","6.24","7.3","0","10","7","8"
"1991","(0) in school","Female","","","","","","","","","","","","","",""
"1991","(0) in school","Male","","","","","","","","","","","","","",""
"1991","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1991","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1991","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1991","(1b) general elementary school","Male","","","","","","","","","","","","","",""
"1991","(1c) basic vocational qualification","Female","","","","","","","","","","","","","",""
"1991","(1c) basic vocational qualification","Male","","","","","","","","","","","","","",""
"1991","(2a) intermediate vocational","Female","","","","","","","","","","","","","",""
"1991","(2a) intermediate vocational","Male","","","","","","","","","","","","","",""
"1991","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1991","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1991","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1991","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1991","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1991","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1991","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1991","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
"1991","(3b) higher tertiary education","Female","","","","","","","","","","","","","",""
"1991","(3b) higher tertiary education","Male","","","","","","","","","","","","","",""
"1992","(0) in school","Female","","","","","","","","","","","","","",""
"1992","(0) in school","Male","","","","","","","","","","","","","",""
"1992","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1992","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1992","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1992","(1b) general elementary school","Male","","","","","","","","","","","","","",""
"1992","(1c) basic vocational qualification","Female","","","","","","","","","","","","","",""
"1992","(1c) basic vocational qualification","Male","","","","","","","","","","","","","",""
"1992","(2a) intermediate vocational","Female","","","","","","","","","","","","","",""
"1992","(2a) intermediate vocational","Male","","","","","","","","","","","","","",""
"1992","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1992","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1992","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1992","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1992","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1992","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1992","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1992","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
"1992","(3b) higher tertiary education","Female","","","","","","","","","","","","","",""
"1992","(3b) higher tertiary education","Male","","","","","","","","","","","","","",""
"1993","(0) in school","Female","","","","","","","","","","","","","",""
"1993","(0) in school","Male","","","","","","","","","","","","","",""
"1993","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1993","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1993","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1993","(1b) general elementary school","Male","","","","","","","","","","","","","",""
"1993","(1c) basic vocational qualification","Female","","","","","","","","","","","","","",""
"1993","(1c) basic vocational qualification","Male","","","","","","","","","","","","","",""
"1993","(2a) intermediate vocational","Female","","","","","","","","","","","","","",""
"1993","(2a) intermediate vocational","Male","","","","","","","","","","","","","",""
"1993","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1993","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1993","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1993","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1993","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1993","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1993","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1993","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
"1993","(3b) higher tertiary education","Female","","","","","","","","","","","","","",""
"1993","(3b) higher tertiary education","Male","","","","","","","","","","","","","",""
"1994","(0) in school","Female","","","","","","","","","","","","","",""
"1994","(0) in school","Male","","","","","","","","","","","","","",""
"1994","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1994","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1994","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1994","(1b) general elementary school","Male","","","","","","","","","","","","","",""
"1994","(1c) basic vocational qualification","Female","","","","","","","","","","","","","",""
"1994","(1c) basic vocational qualification","Male","","","","","","","","","","","","","",""
"1994","(2a) intermediate vocational","Female","","","","","","","","","","","","","",""
"1994","(2a) intermediate vocational","Male","","","","","","","","","","","","","",""
"1994","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1994","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1994","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1994","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1994","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1994","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1994","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1994","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
"1994","(3b) higher tertiary education","Female","","","","","","","","","","","","","",""
"1994","(3b) higher tertiary education","Male","","","","","","","","","","","","","",""
"1995","(0) in school","Female","","","","","","","","","","","","","",""
"1995","(0) in school","Male","","","","","","","","","","","","","",""
"1995","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1995","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1995","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1995","(1b) general elementary school","Male","","","","","","","","","","","","","",""
"1995","(1c) basic vocational qualification","Female","","","","","","","","","","","","","",""
"1995","(1c) basic vocational qualification","Male","","","","","","","","","","","","","",""
"1995","(2a) intermediate vocational","Female","","","","","","","","","","","","","",""
"1995","(2a) intermediate vocational","Male","","","","","","","","","","","","","",""
"1995","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1995","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1995","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1995","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1995","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1995","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1995","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1995","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
"1995","(3b) higher tertiary education","Female","","","","","","","","","","","","","",""
"1995","(3b) higher tertiary education","Male","","","","","","","","","","","","","",""
"1996","(0) in school","Female","","","","","","","","","","","","","",""
"1996","(0) in school","Male","","","","","","","","","","","","","",""
"1996","(1a) inadequately completed","Female","","","","","","","","","","","","","",""
"1996","(1a) inadequately completed","Male","","","","","","","","","","","","","",""
"1996","(1b) general elementary school","Female","","","","","","","","","","","","","",""
"1996","(1b) general elementary school","Male","","","","","","","","","","","","","",""
