"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","(0) in school","3.75","4","654","3.62","3.88","1","2","5","6"
"2005","(1a) inadequately completed","3.86","4","246","3.61","4.11","1","2","6","7"
"2005","(1b) general elementary school","3.98","4","1859","3.9","4.06","2","3","5","7"
"2005","(1c) basic vocational qualification","3.75","4","5699","3.7","3.8","1","2","5","6"
"2005","(2a) intermediate vocational","3.72","4","4791","3.67","3.77","1","2","5","6"
"2005","(2b) intermediate general qualification","3.9","4","578","3.76","4.04","1","3","5","6"
"2005","(2c_gen) general maturity certificate","3.75","4","796","3.64","3.86","2","2","5","6"
"2005","(2c_voc) vocational maturity certificate","3.59","4","1513","3.51","3.67","2","2","5","6"
"2005","(3a) lower tertiary education","3.55","3","1652","3.47","3.63","1","2","5","6"
"2005","(3b) higher tertiary education","3.55","3","2512","3.49","3.61","1","2","5","6"
"2006","(0) in school","","","","","","","","",""
"2006","(1a) inadequately completed","","","","","","","","",""
"2006","(1b) general elementary school","","","","","","","","",""
"2006","(1c) basic vocational qualification","","","","","","","","",""
"2006","(2a) intermediate vocational","","","","","","","","",""
"2006","(2b) intermediate general qualification","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","(3a) lower tertiary education","","","","","","","","",""
"2006","(3b) higher tertiary education","","","","","","","","",""
"2007","(0) in school","","","","","","","","",""
"2007","(1a) inadequately completed","","","","","","","","",""
"2007","(1b) general elementary school","","","","","","","","",""
"2007","(1c) basic vocational qualification","","","","","","","","",""
"2007","(2a) intermediate vocational","","","","","","","","",""
"2007","(2b) intermediate general qualification","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2007","(3a) lower tertiary education","","","","","","","","",""
"2007","(3b) higher tertiary education","","","","","","","","",""
"2008","(0) in school","","","","","","","","",""
"2008","(1a) inadequately completed","","","","","","","","",""
"2008","(1b) general elementary school","","","","","","","","",""
"2008","(1c) basic vocational qualification","","","","","","","","",""
"2008","(2a) intermediate vocational","","","","","","","","",""
"2008","(2b) intermediate general qualification","","","","","","","","",""
"2008","(2c_gen) general maturity certificate","","","","","","","","",""
