"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","4.59","4.67","5327","4.56","4.62","3","3.66666674613953","5.33333349227905","6"
"2005","35-65 y.","4.48","4.33","11620","4.46","4.5","3","3.66666674613953","5.33333349227905","6"
"2005","66 and older","4.21","4.33","3775","4.17","4.25","2.33333325386047","3.33333325386047","5","6"
"2006","16-34 y.","","","","","","","","",""
"2006","35-65 y.","","","","","","","","",""
"2006","66 and older","","","","","","","","",""
"2007","16-34 y.","","","","","","","","",""
"2007","35-65 y.","","","","","","","","",""
"2007","66 and older","","","","","","","","",""
"2008","16-34 y.","","","","","","","","",""
"2008","35-65 y.","","","","","","","","",""
"2008","66 and older","","","","","","","","",""
"2009","16-34 y.","4.48","4.33","3995","4.44","4.52","3","3.66666674613953","5.33333349227905","6"
"2009","35-65 y.","4.37","4.33","9877","4.35","4.39","2.66666674613953","3.66666674613953","5.33333349227905","6"
"2009","66 and older","4.13","4","4166","4.09","4.17","2.33333325386047","3.33333325386047","5","6"
"2010","16-34 y.","","","","","","","","",""
"2010","35-65 y.","","","","","","","","",""
"2010","66 and older","","","","","","","","",""
"2011","16-34 y.","","","","","","","","",""
"2011","35-65 y.","","","","","","","","",""
"2011","66 and older","","","","","","","","",""
"2012","16-34 y.","4.66","4.67","2200","4.61","4.71","3","4","5.33333349227905","6"
"2012","35-65 y.","4.64","4.67","4904","4.61","4.67","3","4","5.5","6"
"2012","66 and older","","","","","","","","",""
"2013","16-34 y.","4.67","4.67","3700","4.63","4.71","3.33333325386047","4","5.66666650772095","6"
"2013","35-65 y.","4.55","4.67","10237","4.53","4.57","3","3.66666674613953","5.33333349227905","6"
"2013","66 and older","4.48","4.67","4958","4.45","4.51","3","3.66666674613953","5.33333349227905","6"
"2014","16-34 y.","","","","","","","","",""
"2014","35-65 y.","","","","","","","","",""
"2014","66 and older","","","","","","","","",""
"2015","16-34 y.","","","","","","","","",""
"2015","35-65 y.","","","","","","","","",""
"2015","66 and older","","","","","","","","",""
"2016","16-34 y.","","","","","","","","",""
"2016","35-65 y.","","","","","","","","",""
"2016","66 and older","","","","","","","","",""
"2017","16-34 y.","4.75","4.67","7574","4.72","4.78","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","35-65 y.","4.65","4.67","16697","4.63","4.67","3","3.66666674613953","5.66666650772095","6.33333349227905"
"2017","66 and older","4.5","4.67","5033","4.47","4.53","3","3.66666674613953","5.33333349227905","6"
"2018","16-34 y.","","","","","","","","",""
"2018","35-65 y.","","","","","","","","",""
"2018","66 and older","","","","","","","","",""
"2019","16-34 y.","4.7","4.67","5440","4.67","4.73","3.33333325386047","4","5.66666650772095","6"
"2019","35-65 y.","4.5","4.67","15147","4.48","4.52","3","3.66666674613953","5.33333349227905","6"
"2019","66 and older","4.43","4.33","5222","4.4","4.46","2.66666674613953","3.66666674613953","5.33333349227905","6"
