"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","4.45","4.33","20722","3","3.66666674613953","5.33333349227905","6","4.43","4.47","4.5","4.66666650772095"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","4.34","4.33","18038","2.66666674613953","3.5","5.33333349227905","6","4.32","4.36","4.33333349227905","4.33333349227905"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","4.65","4.67","7128","3","4","5.33333349227905","6","4.62","4.68","4.66666650772095","4.66666650772095"
"2013","4.55","4.67","18895","3","3.66666674613953","5.33333349227905","6","4.53","4.57","4.66666650772095","4.66666650772095"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","4.64","4.67","29304","3","4","5.66666650772095","6.33333349227905","4.63","4.65","4.66666650772095","4.66666650772095"
"2018","","","","","","","","","","",""
"2019","4.53","4.67","25809","3","3.66666674613953","5.33333349227905","6","4.52","4.54","4.66666650772095","4.66666650772095"
