"pli0097_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","West Germany","","","",""
"Daily","1985","no migration background","East Germany","","","",""
"Daily","1985","direct migration background","West Germany","","","",""
"Daily","1985","direct migration background","East Germany","","","",""
"Daily","1985","indirect migration background","West Germany","","","",""
"Daily","1985","indirect migration background","East Germany","","","",""
"Min 1x per week","1985","no migration background","West Germany","90","0.0110192185388264","0.00871416049947154","0.0133242765781812"
"Min 1x per week","1985","no migration background","East Germany","","","",""
"Min 1x per week","1985","direct migration background","West Germany","","","",""
"Min 1x per week","1985","direct migration background","East Germany","","","",""
"Min 1x per week","1985","indirect migration background","West Germany","","","",""
"Min 1x per week","1985","indirect migration background","East Germany","","","",""
"Min 1x per month","1985","no migration background","West Germany","175","0.0207406790253563","0.0175938519145704","0.0238875061361421"
"Min 1x per month","1985","no migration background","East Germany","","","",""
"Min 1x per month","1985","direct migration background","West Germany","","","",""
"Min 1x per month","1985","direct migration background","East Germany","","","",""
"Min 1x per month","1985","indirect migration background","West Germany","","","",""
"Min 1x per month","1985","indirect migration background","East Germany","","","",""
"Rarely","1985","no migration background","West Germany","448","0.05349297155678","0.0485244998128177","0.0584614433007424"
"Rarely","1985","no migration background","East Germany","","","",""
"Rarely","1985","direct migration background","West Germany","64","0.031122250223869","0.0248120052918986","0.0374324951558394"
"Rarely","1985","direct migration background","East Germany","","","",""
"Rarely","1985","indirect migration background","West Germany","","","",""
"Rarely","1985","indirect migration background","East Germany","","","",""
"Never","1985","no migration background","West Germany","7166","0.914747130879037","0.908580931393793","0.920913330364281"
"Never","1985","no migration background","East Germany","","","",""
"Never","1985","direct migration background","West Germany","2809","0.951132972555958","0.943298589358051","0.958967355753865"
"Never","1985","direct migration background","East Germany","","","",""
"Never","1985","indirect migration background","West Germany","135","0.926981615198197","0.884038830250768","0.969924400145627"
"Never","1985","indirect migration background","East Germany","","","",""
"Daily","1986","no migration background","West Germany","","","",""
"Daily","1986","no migration background","East Germany","","","",""
"Daily","1986","direct migration background","West Germany","","","",""
"Daily","1986","direct migration background","East Germany","","","",""
"Daily","1986","indirect migration background","West Germany","","","",""
"Daily","1986","indirect migration background","East Germany","","","",""
"Min 1x per week","1986","no migration background","West Germany","76","0.00977858027647255","0.00755586669404198","0.0120012938589031"
"Min 1x per week","1986","no migration background","East Germany","","","",""
"Min 1x per week","1986","direct migration background","West Germany","","","",""
"Min 1x per week","1986","direct migration background","East Germany","","","",""
"Min 1x per week","1986","indirect migration background","West Germany","","","",""
"Min 1x per week","1986","indirect migration background","East Germany","","","",""
"Min 1x per month","1986","no migration background","West Germany","151","0.0195176385928758","0.0163929051823147","0.0226423720034369"
"Min 1x per month","1986","no migration background","East Germany","","","",""
"Min 1x per month","1986","direct migration background","West Germany","","","",""
"Min 1x per month","1986","direct migration background","East Germany","","","",""
"Min 1x per month","1986","indirect migration background","West Germany","","","",""
"Min 1x per month","1986","indirect migration background","East Germany","","","",""
"Rarely","1986","no migration background","West Germany","426","0.0541840436317562","0.0490705411995323","0.0592975460639801"
"Rarely","1986","no migration background","East Germany","","","",""
"Rarely","1986","direct migration background","West Germany","68","0.0279761517350889","0.0219027233610769","0.0340495801091008"
"Rarely","1986","direct migration background","East Germany","","","",""
"Rarely","1986","indirect migration background","West Germany","","","",""
"Rarely","1986","indirect migration background","East Germany","","","",""
"Never","1986","no migration background","West Germany","6876","0.916519737498895","0.910271719722634","0.922767755275157"
"Never","1986","no migration background","East Germany","","","",""
"Never","1986","direct migration background","West Germany","2728","0.953060657861437","0.945270787378881","0.960850528343993"
"Never","1986","direct migration background","East Germany","","","",""
"Never","1986","indirect migration background","West Germany","146","0.930011427457057","0.889847150571099","0.970175704343014"
"Never","1986","indirect migration background","East Germany","","","",""
"Daily","1987","no migration background","West Germany","","","",""
"Daily","1987","no migration background","East Germany","","","",""
"Daily","1987","direct migration background","West Germany","","","",""
"Daily","1987","direct migration background","East Germany","","","",""
"Daily","1987","indirect migration background","West Germany","","","",""
"Daily","1987","indirect migration background","East Germany","","","",""
"Min 1x per week","1987","no migration background","West Germany","","","",""
"Min 1x per week","1987","no migration background","East Germany","","","",""
"Min 1x per week","1987","direct migration background","West Germany","","","",""
"Min 1x per week","1987","direct migration background","East Germany","","","",""
"Min 1x per week","1987","indirect migration background","West Germany","","","",""
"Min 1x per week","1987","indirect migration background","East Germany","","","",""
"Min 1x per month","1987","no migration background","West Germany","","","",""
"Min 1x per month","1987","no migration background","East Germany","","","",""
"Min 1x per month","1987","direct migration background","West Germany","","","",""
"Min 1x per month","1987","direct migration background","East Germany","","","",""
"Min 1x per month","1987","indirect migration background","West Germany","","","",""
"Min 1x per month","1987","indirect migration background","East Germany","","","",""
"Rarely","1987","no migration background","West Germany","","","",""
"Rarely","1987","no migration background","East Germany","","","",""
"Rarely","1987","direct migration background","West Germany","","","",""
"Rarely","1987","direct migration background","East Germany","","","",""
"Rarely","1987","indirect migration background","West Germany","","","",""
"Rarely","1987","indirect migration background","East Germany","","","",""
"Never","1987","no migration background","West Germany","","","",""
"Never","1987","no migration background","East Germany","","","",""
"Never","1987","direct migration background","West Germany","","","",""
"Never","1987","direct migration background","East Germany","","","",""
"Never","1987","indirect migration background","West Germany","","","",""
"Never","1987","indirect migration background","East Germany","","","",""
"Daily","1988","no migration background","West Germany","","","",""
"Daily","1988","no migration background","East Germany","","","",""
