"pli0097_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","","","",""
"Daily","1985","35-65 y.","","","",""
"Daily","1985","66 and older","","","",""
"Min 1x per week","1985","16-34 y.","31","0.00948378498981884","0.00652999597923798","0.0124375740003997"
"Min 1x per week","1985","35-65 y.","65","0.0132795986514005","0.0103071489804769","0.0162520483223242"
"Min 1x per week","1985","66 and older","7","","",""
"Min 1x per month","1985","16-34 y.","71","0.0196595091688231","0.0154286104252031","0.0238904079124432"
"Min 1x per month","1985","35-65 y.","122","0.0253082504323417","0.021229851655337","0.0293866492093465"
"Min 1x per month","1985","66 and older","6","","",""
"Rarely","1985","16-34 y.","237","0.0675254672412977","0.0598781322533741","0.0751728022292213"
"Rarely","1985","35-65 y.","259","0.0513440252137213","0.0456131056764277","0.0570749447510149"
"Rarely","1985","66 and older","21","","",""
"Never","1985","16-34 y.","3797","0.90333123860006","0.894325394646692","0.912337082553428"
"Never","1985","35-65 y.","5251","0.910068125702536","0.902639324175192","0.917496927229881"
"Never","1985","66 and older","1062","0.969706590272588","0.959559604137572","0.979853576407605"
"Daily","1986","16-34 y.","","","",""
"Daily","1986","35-65 y.","","","",""
"Daily","1986","66 and older","","","",""
"Min 1x per week","1986","16-34 y.","21","","",""
"Min 1x per week","1986","35-65 y.","68","0.014617029632489","0.0114228423317479","0.0178112169332301"
"Min 1x per week","1986","66 and older","7","","",""
"Min 1x per month","1986","16-34 y.","61","0.0194504000866921","0.015206061149793","0.0236947390235913"
"Min 1x per month","1986","35-65 y.","101","0.0222288446658796","0.018305058380005","0.0261526309517542"
"Min 1x per month","1986","66 and older","7","","",""
"Rarely","1986","16-34 y.","222","0.0652014286057999","0.0576139307635334","0.0727889264480665"
"Rarely","1986","35-65 y.","268","0.0567732305876701","0.0506142596953706","0.0629322014799697"
"Rarely","1986","66 and older","11","","",""
"Never","1986","16-34 y.","3763","0.910500488221497","0.901727219548051","0.919273756894943"
"Never","1986","35-65 y.","4986","0.906380895113961","0.898627964406958","0.914133825820965"
"Never","1986","66 and older","1001","0.977222710151268","0.968093731101312","0.986351689201224"
"Daily","1987","16-34 y.","","","",""
"Daily","1987","35-65 y.","","","",""
"Daily","1987","66 and older","","","",""
"Min 1x per week","1987","16-34 y.","","","",""
"Min 1x per week","1987","35-65 y.","","","",""
"Min 1x per week","1987","66 and older","","","",""
"Min 1x per month","1987","16-34 y.","","","",""
"Min 1x per month","1987","35-65 y.","","","",""
"Min 1x per month","1987","66 and older","","","",""
"Rarely","1987","16-34 y.","","","",""
"Rarely","1987","35-65 y.","","","",""
"Rarely","1987","66 and older","","","",""
"Never","1987","16-34 y.","","","",""
"Never","1987","35-65 y.","","","",""
"Never","1987","66 and older","","","",""
"Daily","1988","16-34 y.","","","",""
"Daily","1988","35-65 y.","","","",""
"Daily","1988","66 and older","","","",""
"Min 1x per week","1988","16-34 y.","19","","",""
"Min 1x per week","1988","35-65 y.","47","0.0110130229055762","0.00813433910836957","0.0138917067027828"
"Min 1x per week","1988","66 and older","3","","",""
"Min 1x per month","1988","16-34 y.","27","","",""
"Min 1x per month","1988","35-65 y.","88","0.0204662118881757","0.0165607370033352","0.0243716867730162"
"Min 1x per month","1988","66 and older","9","","",""
"Rarely","1988","16-34 y.","196","0.0630637814394001","0.0553685143264845","0.0707590485523157"
"Rarely","1988","35-65 y.","294","0.0679344239442147","0.0609935590875852","0.0748752888008441"
"Rarely","1988","66 and older","19","","",""
"Never","1988","16-34 y.","3591","0.922497451480435","0.914032601595902","0.930962301364968"
"Never","1988","35-65 y.","4620","0.900586341262033","0.892332975113038","0.908839707411029"
"Never","1988","66 and older","1002","0.973116175217747","0.963252794334855","0.982979556100639"
