"party","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Employed","West Germany","","","","","7"
"AfD","1984","Employed","East Germany","","","","","7"
"AfD","1984","Not Employed","West Germany","","","","","7"
"AfD","1984","Not Employed","East Germany","","","","","7"
"CDU/CSU","1984","Not Employed","West Germany","1050","0.471499539490314","0.451647841702257","0.49135123727837","2"
"CDU/CSU","1984","Not Employed","East Germany","","","","","2"
"CDU/CSU","1984","Employed","West Germany","1560","0.437778809147326","0.422419728962299","0.453137889332354","2"
"CDU/CSU","1984","Employed","East Germany","","","","","2"
"FDP","1984","Not Employed","West Germany","72","0.0318969843889889","0.0249087102552251","0.0388852585227527","3"
"FDP","1984","Not Employed","East Germany","","","","","3"
"FDP","1984","Employed","West Germany","109","0.0307105795963667","0.0253691811310268","0.0360519780617066","3"
"FDP","1984","Employed","East Germany","","","","","3"
"Grüne","1984","Not Employed","West Germany","177","0.056191154769853","0.0470329503359961","0.06534935920371","4"
"Grüne","1984","Not Employed","East Germany","","","","","4"
"Grüne","1984","Employed","West Germany","254","0.0588176162084578","0.0515335339915785","0.0661016984253371","4"
"Grüne","1984","Employed","East Germany","","","","","4"
"NPD","1984","Employed","West Germany","","","","","6"
"NPD","1984","Employed","East Germany","","","","","6"
"NPD","1984","Not Employed","West Germany","","","","","6"
"NPD","1984","Not Employed","East Germany","","","","","6"
"Other","1984","Not Employed","West Germany","16","","","","8"
"Other","1984","Not Employed","East Germany","","","","","8"
"Other","1984","Employed","West Germany","24","","","","8"
"Other","1984","Employed","East Germany","","","","","8"
"PDS/Linke","1984","Employed","West Germany","","","","","5"
"PDS/Linke","1984","Employed","East Germany","","","","","5"
"PDS/Linke","1984","Not Employed","West Germany","","","","","5"
"PDS/Linke","1984","Not Employed","East Germany","","","","","5"
"SPD","1984","Not Employed","West Germany","1114","0.43382895642943","0.414119827584021","0.453538085274838","1"
"SPD","1984","Not Employed","East Germany","","","","","1"
"SPD","1984","Employed","West Germany","2061","0.466876349900131","0.451430950382252","0.482321749418011","1"
"SPD","1984","Employed","East Germany","","","","","1"
"AfD","1985","Employed","West Germany","","","","","7"
"AfD","1985","Not Employed","West Germany","","","","","7"
"AfD","1985","Not Employed","East Germany","","","","","7"
"AfD","1985","Employed","East Germany","","","","","7"
"CDU/CSU","1985","Employed","West Germany","1369","0.419284590595331","0.403212589454074","0.435356591736588","2"
"CDU/CSU","1985","Not Employed","West Germany","956","0.478436141333839","0.457340585349824","0.499531697317853","2"
"CDU/CSU","1985","Not Employed","East Germany","","","","","2"
"CDU/CSU","1985","Employed","East Germany","","","","","2"
"FDP","1985","Not Employed","West Germany","86","0.044190118724596","0.0355110408789258","0.0528691965702662","3"
"FDP","1985","Not Employed","East Germany","","","","","3"
"FDP","1985","Employed","West Germany","112","0.0349684107213227","0.0289850864458136","0.0409517349968318","3"
"FDP","1985","Employed","East Germany","","","","","3"
"Grüne","1985","Not Employed","West Germany","151","0.0527641886069338","0.0433230596890543","0.0622053175248133","4"
"Grüne","1985","Not Employed","East Germany","","","","","4"
"Grüne","1985","Employed","West Germany","257","0.067994653835115","0.05979528516865","0.07619402250158","4"
"Grüne","1985","Employed","East Germany","","","","","4"
"NPD","1985","Not Employed","West Germany","","","","","6"
"NPD","1985","Not Employed","East Germany","","","","","6"
"NPD","1985","Employed","West Germany","","","","","6"
"NPD","1985","Employed","East Germany","","","","","6"
"Other","1985","Employed","West Germany","19","","","","8"
"Other","1985","Employed","East Germany","","","","","8"
"Other","1985","Not Employed","West Germany","17","","","","8"
"Other","1985","Not Employed","East Germany","","","","","8"
"PDS/Linke","1985","Employed","West Germany","","","","","5"
"PDS/Linke","1985","Employed","East Germany","","","","","5"
"PDS/Linke","1985","Not Employed","West Germany","","","","","5"
"PDS/Linke","1985","Not Employed","East Germany","","","","","5"
"SPD","1985","Not Employed","West Germany","944","0.416317672510149","0.395500298877839","0.437135046142459","1"
"SPD","1985","Not Employed","East Germany","","","","","1"
"SPD","1985","Employed","West Germany","1864","0.471871033350598","0.455611222775282","0.488130843925913","1"
"SPD","1985","Employed","East Germany","","","","","1"
"AfD","1986","Employed","West Germany","","","","","7"
"AfD","1986","Not Employed","West Germany","","","","","7"
"AfD","1986","Not Employed","East Germany","","","","","7"
"AfD","1986","Employed","East Germany","","","","","7"
"CDU/CSU","1986","Employed","West Germany","1327","0.42103535012675","0.404579478121948","0.437491222131552","2"
"CDU/CSU","1986","Not Employed","West Germany","877","0.46936137550215","0.447603422341224","0.491119328663076","2"
"CDU/CSU","1986","Not Employed","East Germany","","","","","2"
"CDU/CSU","1986","Employed","East Germany","","","","","2"
"FDP","1986","Not Employed","West Germany","64","0.0361855524948702","0.0280435870609552","0.0443275179287851","3"
"FDP","1986","Not Employed","East Germany","","","","","3"
"FDP","1986","Employed","West Germany","106","0.0338896447169463","0.027858739916273","0.0399205495176195","3"
"FDP","1986","Employed","East Germany","","","","","3"
"Grüne","1986","Not Employed","East Germany","","","","","4"
"Grüne","1986","Not Employed","West Germany","132","0.0510916538615857","0.0414920779312014","0.0606912297919699","4"
"Grüne","1986","Employed","West Germany","253","0.0709459086153836","0.062388943248629","0.0795028739821381","4"
"Grüne","1986","Employed","East Germany","","","","","4"
"NPD","1986","Not Employed","West Germany","","","","","6"
"NPD","1986","Not Employed","East Germany","","","","","6"
"NPD","1986","Employed","West Germany","","","","","6"
"NPD","1986","Employed","East Germany","","","","","6"
"Other","1986","Employed","West Germany","19","","","","8"
"Other","1986","Employed","East Germany","","","","","8"
"Other","1986","Not Employed","West Germany","10","","","","8"
"Other","1986","Not Employed","East Germany","","","","","8"
"PDS/Linke","1986","Employed","West Germany","","","","","5"
"PDS/Linke","1986","Employed","East Germany","","","","","5"
"PDS/Linke","1986","Not Employed","West Germany","","","","","5"
"PDS/Linke","1986","Not Employed","East Germany","","","","","5"
"SPD","1986","Employed","West Germany","1753","0.468094895777767","0.451463847347509","0.484725944208026","1"
"SPD","1986","Not Employed","West Germany","938","0.438602868849484","0.416968921782521","0.460236815916446","1"
"SPD","1986","Not Employed","East Germany","","","","","1"
"SPD","1986","Employed","East Germany","","","","","1"
"AfD","1987","Employed","West Germany","","","","","7"
"AfD","1987","Employed","East Germany","","","","","7"
"AfD","1987","Not Employed","East Germany","","","","","7"
"AfD","1987","Not Employed","West Germany","","","","","7"
"CDU/CSU","1987","Employed","West Germany","1506","0.44056010387438","0.424655696993985","0.456464510754775","2"
"CDU/CSU","1987","Employed","East Germany","","","","","2"
"CDU/CSU","1987","Not Employed","West Germany","913","0.471714404368321","0.450261288556496","0.493167520180145","2"
"CDU/CSU","1987","Not Employed","East Germany","","","","","2"
"FDP","1987","Employed","West Germany","177","0.0533335995178991","0.046135180771859","0.0605320182639392","3"
"FDP","1987","Employed","East Germany","","","","","3"
"FDP","1987","Not Employed","West Germany","101","0.0548028043021864","0.0450218996135141","0.0645837089908587","3"
"FDP","1987","Not Employed","East Germany","","","","","3"
"Grüne","1987","Employed","West Germany","321","0.0790218696384038","0.0703794273804555","0.087664311896352","4"
"Grüne","1987","Not Employed","East Germany","","","","","4"
"Grüne","1987","Not Employed","West Germany","150","0.0526180683129999","0.0430230364205697","0.0622131002054301","4"
"Grüne","1987","Employed","East Germany","","","","","4"
"NPD","1987","Not Employed","West Germany","","","","","6"
"NPD","1987","Not Employed","East Germany","","","","","6"
"NPD","1987","Employed","West Germany","","","","","6"
"NPD","1987","Employed","East Germany","","","","","6"
"Other","1987","Employed","West Germany","23","","","","8"
"Other","1987","Employed","East Germany","","","","","8"
"Other","1987","Not Employed","West Germany","14","","","","8"
"Other","1987","Not Employed","East Germany","","","","","8"
"PDS/Linke","1987","Employed","West Germany","","","","","5"
"PDS/Linke","1987","Employed","East Germany","","","","","5"
"PDS/Linke","1987","Not Employed","West Germany","","","","","5"
"PDS/Linke","1987","Not Employed","East Germany","","","","","5"
"SPD","1987","Employed","West Germany","1716","0.420287883893748","0.404474755351073","0.436101012436422","1"
"SPD","1987","Employed","East Germany","","","","","1"
