"party","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","16-34 y.","Not Employed","","","","","7"
"AfD","1984","16-34 y.","Employed","","","","","7"
"AfD","1984","35-65 y.","Not Employed","","","","","7"
"AfD","1984","35-65 y.","Employed","","","","","7"
"AfD","1984","66 and older","Employed","","","","","7"
"AfD","1984","66 and older","Not Employed","","","","","7"
"CDU/CSU","1984","16-34 y.","Employed","476","0.374949001877671","0.350091233180674","0.399806770574667","2"
"CDU/CSU","1984","16-34 y.","Not Employed","181","0.323469602379285","0.28725535440447","0.359683850354101","2"
"CDU/CSU","1984","35-65 y.","Not Employed","486","0.498456564209909","0.468256919015468","0.52865620940435","2"
"CDU/CSU","1984","66 and older","Not Employed","383","0.516639118075678","0.480511958715546","0.55276627743581","2"
"CDU/CSU","1984","35-65 y.","Employed","1049","0.464884754367964","0.445353032104628","0.484416476631301","2"
"CDU/CSU","1984","66 and older","Employed","35","0.71602554530671","0.585716947770014","0.846334142843407","2"
"FDP","1984","16-34 y.","Employed","27","","","","3"
"FDP","1984","35-65 y.","Not Employed","34","0.0318705264717764","0.0212610184571303","0.0424800344864225","3"
"FDP","1984","16-34 y.","Not Employed","11","","","","3"
"FDP","1984","35-65 y.","Employed","78","0.0352400938032746","0.0280195089315411","0.0424606786750081","3"
"FDP","1984","66 and older","Not Employed","27","","","","3"
"FDP","1984","66 and older","Employed","4","","","","3"
"Grüne","1984","16-34 y.","Not Employed","149","0.239392055712554","0.206358572373848","0.272425539051259","4"
"Grüne","1984","16-34 y.","Employed","183","0.124178432321765","0.107244835337852","0.141112029305679","4"
"Grüne","1984","35-65 y.","Not Employed","21","","","","4"
"Grüne","1984","35-65 y.","Employed","71","0.0248078903224013","0.0187169515782552","0.0308988290665473","4"
"Grüne","1984","66 and older","Not Employed","7","","","","4"
"Grüne","1984","66 and older","Employed","","","","","4"
"NPD","1984","16-34 y.","Not Employed","","","","","6"
"NPD","1984","66 and older","Not Employed","","","","","6"
"NPD","1984","16-34 y.","Employed","","","","","6"
"NPD","1984","35-65 y.","Employed","","","","","6"
"NPD","1984","66 and older","Employed","","","","","6"
"NPD","1984","35-65 y.","Not Employed","","","","","6"
"Other","1984","16-34 y.","Not Employed","7","","","","8"
"Other","1984","16-34 y.","Employed","12","","","","8"
"Other","1984","35-65 y.","Not Employed","3","","","","8"
"Other","1984","35-65 y.","Employed","12","","","","8"
"Other","1984","66 and older","Not Employed","6","","","","8"
"Other","1984","66 and older","Employed","","","","","8"
"PDS/Linke","1984","16-34 y.","Employed","","","","","5"
"PDS/Linke","1984","35-65 y.","Employed","","","","","5"
"PDS/Linke","1984","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1984","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1984","66 and older","Not Employed","","","","","5"
"PDS/Linke","1984","66 and older","Employed","","","","","5"
"SPD","1984","16-34 y.","Not Employed","293","0.407087569774188","0.369054771957242","0.445120367591135","1"
"SPD","1984","16-34 y.","Employed","759","0.472575420273688","0.446940376551363","0.498210463996013","1"
"SPD","1984","35-65 y.","Not Employed","509","0.452056684051533","0.421996047710595","0.482117320392471","1"
"SPD","1984","35-65 y.","Employed","1295","0.470845802507721","0.451299046125857","0.490392558889585","1"
"SPD","1984","66 and older","Not Employed","312","0.428621522988924","0.392844570223589","0.464398475754259","1"
"SPD","1984","66 and older","Employed","7","","","","1"
"AfD","1985","35-65 y.","Not Employed","","","","","7"
"AfD","1985","35-65 y.","Employed","","","","","7"
"AfD","1985","16-34 y.","Not Employed","","","","","7"
"AfD","1985","16-34 y.","Employed","","","","","7"
"AfD","1985","66 and older","Not Employed","","","","","7"
"AfD","1985","66 and older","Employed","","","","","7"
"CDU/CSU","1985","16-34 y.","Not Employed","161","0.343357508623784","0.303382716541908","0.383332300705661","2"
"CDU/CSU","1985","16-34 y.","Employed","411","0.350801021102891","0.32500786104974","0.376594181156041","2"
"CDU/CSU","1985","35-65 y.","Not Employed","456","0.498286232225482","0.46675601367253","0.529816450778434","2"
"CDU/CSU","1985","35-65 y.","Employed","930","0.450381144602088","0.429914055782309","0.470848233421868","2"
"CDU/CSU","1985","66 and older","Not Employed","339","0.517353022034302","0.478819374304297","0.555886669764308","2"
"CDU/CSU","1985","66 and older","Employed","28","","","","2"
"FDP","1985","16-34 y.","Not Employed","17","","","","3"
"FDP","1985","16-34 y.","Employed","29","","","","3"
"FDP","1985","35-65 y.","Not Employed","35","0.0356385729269652","0.0239478976950464","0.0473292481588841","3"
"FDP","1985","35-65 y.","Employed","81","0.0409980821147437","0.0328411533281085","0.0491550109013789","3"
"FDP","1985","66 and older","Not Employed","34","0.0574979231494083","0.039546492361505","0.0754493539373115","3"
"FDP","1985","66 and older","Employed","2","","","","3"
"Grüne","1985","16-34 y.","Employed","184","0.138684186457161","0.1200040563558","0.157364316558522","4"
"Grüne","1985","16-34 y.","Not Employed","117","0.233193364601711","0.197593407616991","0.26879332158643","4"
"Grüne","1985","35-65 y.","Not Employed","31","0.0227525107460923","0.0133492934208665","0.032155728071318","4"
"Grüne","1985","35-65 y.","Employed","73","0.029603040245407","0.0226307086436963","0.0365753718471177","4"
"Grüne","1985","66 and older","Not Employed","3","","","","4"
"Grüne","1985","66 and older","Employed","","","","","4"
"NPD","1985","16-34 y.","Employed","","","","","6"
"NPD","1985","66 and older","Not Employed","","","","","6"
"NPD","1985","16-34 y.","Not Employed","","","","","6"
"NPD","1985","35-65 y.","Employed","","","","","6"
"NPD","1985","66 and older","Employed","","","","","6"
"NPD","1985","35-65 y.","Not Employed","","","","","6"
"Other","1985","16-34 y.","Not Employed","8","","","","8"
"Other","1985","16-34 y.","Employed","5","","","","8"
"Other","1985","35-65 y.","Not Employed","5","","","","8"
"Other","1985","35-65 y.","Employed","14","","","","8"
"Other","1985","66 and older","Not Employed","4","","","","8"
"Other","1985","66 and older","Employed","","","","","8"
"PDS/Linke","1985","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1985","16-34 y.","Employed","","","","","5"
"PDS/Linke","1985","35-65 y.","Employed","","","","","5"
"PDS/Linke","1985","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1985","66 and older","Not Employed","","","","","5"
"PDS/Linke","1985","66 and older","Employed","","","","","5"
"SPD","1985","16-34 y.","Not Employed","239","0.371321031060756","0.330645082661912","0.4119969794596","1"
"SPD","1985","16-34 y.","Employed","686","0.483618998044254","0.456609157579029","0.510628838509479","1"
"SPD","1985","35-65 y.","Not Employed","439","0.437513891171333","0.406230678159149","0.468797104183517","1"
"SPD","1985","35-65 y.","Employed","1172","0.471986885993099","0.451450572612544","0.492523199373654","1"
"SPD","1985","66 and older","Not Employed","266","0.414862491956478","0.376868678438449","0.452856305474506","1"
"SPD","1985","66 and older","Employed","6","","","","1"
"AfD","1986","16-34 y.","Not Employed","","","","","7"
"AfD","1986","16-34 y.","Employed","","","","","7"
"AfD","1986","35-65 y.","Not Employed","","","","","7"
"AfD","1986","35-65 y.","Employed","","","","","7"
"AfD","1986","66 and older","Not Employed","","","","","7"
"AfD","1986","66 and older","Employed","","","","","7"
"CDU/CSU","1986","16-34 y.","Employed","404","0.353459931235795","0.327158153899546","0.379761708572043","2"
"CDU/CSU","1986","35-65 y.","Employed","902","0.454253771820814","0.433261214387254","0.475246329254374","2"
"CDU/CSU","1986","16-34 y.","Not Employed","140","0.306608798412401","0.266071820665271","0.34714577615953","2"
"CDU/CSU","1986","35-65 y.","Not Employed","445","0.499426882761755","0.467429357481063","0.531424408042446","2"
"CDU/CSU","1986","66 and older","Not Employed","292","0.506886142803121","0.4664072993175","0.547364986288742","2"
"CDU/CSU","1986","66 and older","Employed","21","","","","2"
"FDP","1986","16-34 y.","Not Employed","10","","","","3"
"FDP","1986","16-34 y.","Employed","28","","","","3"
"FDP","1986","35-65 y.","Not Employed","19","","","","3"
"FDP","1986","35-65 y.","Employed","76","0.0390709594298763","0.030901498411631","0.0472404204481215","3"
"FDP","1986","66 and older","Employed","2","","","","3"
"FDP","1986","66 and older","Not Employed","35","0.0555644553227205","0.0370170152883822","0.0741118953570587","3"
"Grüne","1986","16-34 y.","Employed","182","0.143120051076328","0.12385245596641","0.162387646186247","4"
"Grüne","1986","16-34 y.","Not Employed","104","0.218691863089972","0.1823508205103","0.255032905669644","4"
"Grüne","1986","35-65 y.","Not Employed","25","","","","4"
"Grüne","1986","66 and older","Not Employed","3","","","","4"
"Grüne","1986","35-65 y.","Employed","70","0.030327703716092","0.023097459514339","0.0375579479178451","4"
"Grüne","1986","66 and older","Employed","1","","","","4"
"NPD","1986","16-34 y.","Not Employed","","","","","6"
"NPD","1986","16-34 y.","Employed","","","","","6"
"NPD","1986","66 and older","Not Employed","","","","","6"
"NPD","1986","35-65 y.","Employed","","","","","6"
"NPD","1986","35-65 y.","Not Employed","","","","","6"
"NPD","1986","66 and older","Employed","","","","","6"
"Other","1986","16-34 y.","Not Employed","2","","","","8"
"Other","1986","16-34 y.","Employed","6","","","","8"
"Other","1986","35-65 y.","Not Employed","5","","","","8"
"Other","1986","35-65 y.","Employed","13","","","","8"
"Other","1986","66 and older","Not Employed","3","","","","8"
"Other","1986","66 and older","Employed","","","","","8"
"PDS/Linke","1986","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1986","16-34 y.","Employed","","","","","5"
"PDS/Linke","1986","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1986","35-65 y.","Employed","","","","","5"
"PDS/Linke","1986","66 and older","Not Employed","","","","","5"
"PDS/Linke","1986","66 and older","Employed","","","","","5"
"SPD","1986","16-34 y.","Not Employed","241","0.444495143913525","0.400808635378514","0.488181652448536","1"
