"party","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","general elemantary","","","","","7"
"AfD","1984","inadequately","","","","","7"
"AfD","1984","middle vocational","","","","","7"
"AfD","1984","vocational + Abi","","","","","7"
"AfD","1984","higher vocational","","","","","7"
"AfD","1984","in school","","","","","7"
"AfD","1984","higher education","","","","","7"
"CDU/CSU","1984","higher vocational","240","0.57123548301724","0.524404157326827","0.618066808707653","2"
"CDU/CSU","1984","middle vocational","1368","0.449456434137956","0.432412058765941","0.46650080950997","2"
"CDU/CSU","1984","general elemantary","675","0.447355254610821","0.423628417775911","0.47108209144573","2"
"CDU/CSU","1984","inadequately","31","0.202815644739575","0.154033830608301","0.251597458870849","2"
"CDU/CSU","1984","vocational + Abi","50","0.31982262401532","0.252613550431972","0.387031697598669","2"
"CDU/CSU","1984","higher education","220","0.475921275437653","0.432406308563964","0.519436242311343","2"
"CDU/CSU","1984","in school","22","","","","2"
"FDP","1984","general elemantary","33","0.0208997527573794","0.0140736204130846","0.0277258851016742","3"
"FDP","1984","higher education","44","0.0891692782047458","0.064337987544441","0.114000568865051","3"
"FDP","1984","inadequately","1","","","","3"
"FDP","1984","middle vocational","71","0.024759287509727","0.0194349395920895","0.0300836354273644","3"
"FDP","1984","vocational + Abi","13","","","","3"
"FDP","1984","higher vocational","18","","","","3"
"FDP","1984","in school","","","","","3"
"NPD","1984","inadequately","","","","","6"
"NPD","1984","general elemantary","","","","","6"
"NPD","1984","in school","","","","","6"
"NPD","1984","middle vocational","","","","","6"
"NPD","1984","higher vocational","","","","","6"
"NPD","1984","higher education","","","","","6"
"NPD","1984","vocational + Abi","","","","","6"
"Other","1984","higher vocational","1","","","","8"
"Other","1984","higher education","1","","","","8"
"Other","1984","general elemantary","14","","","","8"
"Other","1984","middle vocational","16","","","","8"
"Other","1984","vocational + Abi","3","","","","8"
"Other","1984","inadequately","4","","","","8"
"Other","1984","in school","1","","","","8"
"PDS/Linke","1984","in school","","","","","5"
"PDS/Linke","1984","inadequately","","","","","5"
"PDS/Linke","1984","general elemantary","","","","","5"
"PDS/Linke","1984","middle vocational","","","","","5"
"PDS/Linke","1984","vocational + Abi","","","","","5"
"PDS/Linke","1984","higher vocational","","","","","5"
"PDS/Linke","1984","higher education","","","","","5"
"SPD","1984","general elemantary","871","0.481055266288526","0.457212941985466","0.504897590591585","1"
"SPD","1984","middle vocational","1631","0.472420671680704","0.455314620180134","0.489526723181275","1"
"SPD","1984","vocational + Abi","88","0.407559287044816","0.336751654872832","0.4783669192168","1"
"SPD","1984","inadequately","213","0.718195046609329","0.663616325960368","0.772773767258289","1"
"SPD","1984","in school","31","0.361126055614612","0.251687782486475","0.470564328742749","1"
"SPD","1984","higher vocational","144","0.327505381677083","0.283096169178551","0.371914594175615","1"
"SPD","1984","higher education","180","0.31745654164044","0.276898205776006","0.358014877504875","1"
"AfD","1985","middle vocational","","","","","7"
"AfD","1985","general elemantary","","","","","7"
"AfD","1985","inadequately","","","","","7"
"AfD","1985","in school","","","","","7"
"AfD","1985","vocational + Abi","","","","","7"
"AfD","1985","higher vocational","","","","","7"
"AfD","1985","higher education","","","","","7"
"CDU/CSU","1985","higher vocational","225","0.57091769310732","0.523067440516955","0.618767945697684","2"
"CDU/CSU","1985","general elemantary","566","0.458032281781501","0.431924258747458","0.484140304815545","2"
"CDU/CSU","1985","middle vocational","1205","0.434515476279124","0.416688287932638","0.45234266462561","2"
