"party","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","(Married) couple without C. ","direct migration background","","","","","7"
"AfD","1984","(Married) couple without C. ","indirect migration background","","","","","7"
"AfD","1984","Single parent ","no migration background","","","","","7"
"AfD","1984","1-pers.-HH","no migration background","","","","","7"
"AfD","1984","1-pers.-HH","direct migration background","","","","","7"
"AfD","1984","1-pers.-HH","indirect migration background","","","","","7"
"AfD","1984","(Married) couple without C. ","no migration background","","","","","7"
"AfD","1984","Single parent ","direct migration background","","","","","7"
"AfD","1984","Single parent ","indirect migration background","","","","","7"
"AfD","1984","Couple + C. LE 16 ","no migration background","","","","","7"
"AfD","1984","Couple + C. LE 16 ","indirect migration background","","","","","7"
"AfD","1984","Couple + C. GT 16 ","no migration background","","","","","7"
"AfD","1984","Couple + C. GT 16 ","direct migration background","","","","","7"
"AfD","1984","Couple + C. GT 16 ","indirect migration background","","","","","7"
"AfD","1984","Couple + C. LE and GT 16","no migration background","","","","","7"
"AfD","1984","Couple + C. LE and GT 16","direct migration background","","","","","7"
"AfD","1984","Couple + C. LE and GT 16","indirect migration background","","","","","7"
"AfD","1984","Couple + C. LE 16 ","direct migration background","","","","","7"
"CDU/CSU","1984","1-pers.-HH","direct migration background","23","","","","1"
"CDU/CSU","1984","1-pers.-HH","no migration background","287","0.452912199766743","0.414762182259541","0.491062217273946","1"
"CDU/CSU","1984","(Married) couple without C. ","no migration background","632","0.449651993318207","0.423778153852443","0.47552583278397","1"
"CDU/CSU","1984","(Married) couple without C. ","direct migration background","48","0.426013473672091","0.354948739581264","0.497078207762918","1"
"CDU/CSU","1984","(Married) couple without C. ","indirect migration background","3","","","","1"
"CDU/CSU","1984","Single parent ","no migration background","92","0.385101729659175","0.325257731207192","0.444945728111157","1"
"CDU/CSU","1984","Single parent ","direct migration background","6","","","","1"
"CDU/CSU","1984","Single parent ","indirect migration background","2","","","","1"
"CDU/CSU","1984","Couple + C. LE 16 ","no migration background","503","0.423611511307635","0.395548534570701","0.451674488044569","1"
"CDU/CSU","1984","Couple + C. LE 16 ","indirect migration background","4","","","","1"
