"party","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","no migration background","West Germany","","","","","7"
"AfD","1984","no migration background","East Germany","","","","","7"
"AfD","1984","direct migration background","West Germany","","","","","7"
"AfD","1984","direct migration background","East Germany","","","","","7"
"AfD","1984","indirect migration background","East Germany","","","","","7"
"AfD","1984","indirect migration background","West Germany","","","","","7"
"CDU/CSU","1984","no migration background","East Germany","","","","","1"
"CDU/CSU","1984","no migration background","West Germany","2384","0.459972181265539","0.446511051427855","0.473433311103223","1"
"CDU/CSU","1984","direct migration background","West Germany","216","0.347654855199014","0.319777077451855","0.375532632946172","1"
"CDU/CSU","1984","direct migration background","East Germany","","","","","1"
"CDU/CSU","1984","indirect migration background","East Germany","","","","","1"
"CDU/CSU","1984","indirect migration background","West Germany","10","","","","1"
"FDP","1984","no migration background","West Germany","166","0.0323609322988176","0.0275815158571846","0.0371403487404505","3"
"FDP","1984","no migration background","East Germany","","","","","3"
"FDP","1984","direct migration background","West Germany","14","","","","3"
"FDP","1984","indirect migration background","West Germany","1","","","","3"
"FDP","1984","indirect migration background","East Germany","","","","","3"
"FDP","1984","direct migration background","East Germany","","","","","3"
"NPD Combination","1984","no migration background","West Germany","","","","","6"
"NPD Combination","1984","indirect migration background","West Germany","","","","","6"
"NPD Combination","1984","no migration background","East Germany","","","","","6"
"NPD Combination","1984","direct migration background","East Germany","","","","","6"
"NPD Combination","1984","indirect migration background","East Germany","","","","","6"
"NPD Combination","1984","direct migration background","West Germany","","","","","6"
"Other","1984","no migration background","West Germany","28","","","","8"
"Other","1984","no migration background","East Germany","","","","","8"
"Other","1984","direct migration background","West Germany","11","","","","8"
"Other","1984","direct migration background","East Germany","","","","","8"
"Other","1984","indirect migration background","West Germany","1","","","","8"
"Other","1984","indirect migration background","East Germany","","","","","8"
"PDS/Linke","1984","no migration background","East Germany","","","","","5"
"PDS/Linke","1984","direct migration background","East Germany","","","","","5"
"PDS/Linke","1984","no migration background","West Germany","","","","","5"
"PDS/Linke","1984","direct migration background","West Germany","","","","","5"
"PDS/Linke","1984","indirect migration background","West Germany","","","","","5"
"PDS/Linke","1984","indirect migration background","East Germany","","","","","5"
"SPD","1984","no migration background","West Germany","2356","0.445239924255965","0.431816685556399","0.458663162955531","2"
"SPD","1984","direct migration background","East Germany","","","","","2"
"SPD","1984","direct migration background","West Germany","791","0.554905835317991","0.525813346174275","0.583998324461707","2"
"SPD","1984","no migration background","East Germany","","","","","2"
"SPD","1984","indirect migration background","East Germany","","","","","2"
"SPD","1984","indirect migration background","West Germany","28","","","","2"
"AfD","1985","direct migration background","West Germany","","","","","7"
"AfD","1985","direct migration background","East Germany","","","","","7"
"AfD","1985","no migration background","West Germany","","","","","7"
"AfD","1985","no migration background","East Germany","","","","","7"
"AfD","1985","indirect migration background","West Germany","","","","","7"
"AfD","1985","indirect migration background","East Germany","","","","","7"
"CDU/CSU","1985","no migration background","East Germany","","","","","1"
"CDU/CSU","1985","no migration background","West Germany","2108","0.449127647457179","0.435004645418029","0.463250649496328","1"
"CDU/CSU","1985","direct migration background","East Germany","","","","","1"
"CDU/CSU","1985","direct migration background","West Germany","204","0.381776536587844","0.351060600448873","0.412492472726815","1"
"CDU/CSU","1985","indirect migration background","West Germany","13","","","","1"
"CDU/CSU","1985","indirect migration background","East Germany","","","","","1"
"FDP","1985","no migration background","West Germany","187","0.0406845833188956","0.035075236578169","0.0462939300596222","3"
"FDP","1985","no migration background","East Germany","","","","","3"
"FDP","1985","direct migration background","West Germany","11","","","","3"
"FDP","1985","indirect migration background","West Germany","","","","","3"
"FDP","1985","indirect migration background","East Germany","","","","","3"
"FDP","1985","direct migration background","East Germany","","","","","3"
"NPD Combination","1985","no migration background","East Germany","","","","","6"
"NPD Combination","1985","indirect migration background","West Germany","","","","","6"
"NPD Combination","1985","no migration background","West Germany","","","","","6"
"NPD Combination","1985","direct migration background","East Germany","","","","","6"
"NPD Combination","1985","indirect migration background","East Germany","","","","","6"
"NPD Combination","1985","direct migration background","West Germany","","","","","6"
