"party","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","Full Time","Urban Area","","","","","7"
"AfD","1985","Full Time","Rural Area","","","","","7"
"AfD","1985","Part Time","Urban Area","","","","","7"
"AfD","1985","Part Time","Rural Area","","","","","7"
"AfD","1985","Not Working","Urban Area","","","","","7"
"AfD","1985","Not Working","Rural Area","","","","","7"
"CDU/CSU","1985","Full Time","Rural Area","266","0.53721797895355","0.495006632573349","0.57942932533375","1"
"CDU/CSU","1985","Part Time","Rural Area","101","0.515920755328969","0.44648689942197","0.585354611235967","1"
"CDU/CSU","1985","Full Time","Urban Area","726","0.391688162919867","0.370830839257767","0.412545486581967","1"
"CDU/CSU","1985","Part Time","Urban Area","276","0.376146725147281","0.342194785781037","0.410098664513525","1"
"CDU/CSU","1985","Not Working","Urban Area","705","0.457554509480488","0.433717510147561","0.481391508813415","1"
"CDU/CSU","1985","Not Working","Rural Area","251","0.544626138685885","0.499888000741403","0.589364276630368","1"
"FDP","1985","Full Time","Urban Area","74","0.0405171019007778","0.0320922353727573","0.0489419684287982","3"
"FDP","1985","Full Time","Rural Area","14","","","","3"
"FDP","1985","Part Time","Urban Area","19","","","","3"
"FDP","1985","Not Working","Urban Area","71","0.0457423886853512","0.0357459720390226","0.0557388053316797","3"
"FDP","1985","Not Working","Rural Area","15","","","","3"
"FDP","1985","Part Time","Rural Area","5","","","","3"
"NPD Combination","1985","Full Time","Urban Area","","","","","6"
"NPD Combination","1985","Full Time","Rural Area","","","","","6"
"NPD Combination","1985","Part Time","Rural Area","","","","","6"
"NPD Combination","1985","Not Working","Urban Area","","","","","6"
"NPD Combination","1985","Not Working","Rural Area","","","","","6"
"NPD Combination","1985","Part Time","Urban Area","","","","","6"
"Other","1985","Full Time","Urban Area","11","","","","8"
"Other","1985","Full Time","Rural Area","3","","","","8"
"Other","1985","Part Time","Urban Area","4","","","","8"
"Other","1985","Part Time","Rural Area","1","","","","8"
"Other","1985","Not Working","Urban Area","13","","","","8"
"Other","1985","Not Working","Rural Area","4","","","","8"
"PDS/Linke","1985","Full Time","Urban Area","","","","","5"
"PDS/Linke","1985","Full Time","Rural Area","","","","","5"
"PDS/Linke","1985","Part Time","Rural Area","","","","","5"
"PDS/Linke","1985","Part Time","Urban Area","","","","","5"
"PDS/Linke","1985","Not Working","Urban Area","","","","","5"
"PDS/Linke","1985","Not Working","Rural Area","","","","","5"
"SPD","1985","Part Time","Rural Area","79","0.393795248298059","0.325911399624779","0.461679096971339","2"
"SPD","1985","Full Time","Urban Area","1158","0.498416319599035","0.477051804063634","0.519780835134436","2"
"SPD","1985","Part Time","Urban Area","392","0.483701495887414","0.44867603464605","0.518726957128778","2"
"SPD","1985","Full Time","Rural Area","235","0.393406313849377","0.35205062093647","0.434762006762284","2"
"SPD","1985","Not Working","Rural Area","188","0.382800697274055","0.33913466935395","0.426466725194161","2"
"SPD","1985","Not Working","Urban Area","756","0.426891613675239","0.40322537140151","0.450557855948967","2"
"AfD","1986","Full Time","Urban Area","","","","","7"
"AfD","1986","Full Time","Rural Area","","","","","7"
"AfD","1986","Part Time","Urban Area","","","","","7"
"AfD","1986","Part Time","Rural Area","","","","","7"
"AfD","1986","Not Working","Urban Area","","","","","7"
"AfD","1986","Not Working","Rural Area","","","","","7"
"CDU/CSU","1986","Full Time","Rural Area","250","0.545837641669981","0.501976210261178","0.589699073078783","1"
"CDU/CSU","1986","Full Time","Urban Area","719","0.394665011116143","0.373365857236842","0.415964164995444","1"
"CDU/CSU","1986","Part Time","Rural Area","104","0.494061606598203","0.427076141652763","0.561047071543642","1"
"CDU/CSU","1986","Part Time","Urban Area","254","0.375023276419007","0.339807212456971","0.410239340381043","1"
"CDU/CSU","1986","Not Working","Urban Area","669","0.462213154344165","0.437668343142883","0.486757965545448","1"
"CDU/CSU","1986","Not Working","Rural Area","208","0.493458546962317","0.446529938123372","0.540387155801262","1"
"FDP","1986","Full Time","Urban Area","75","0.0402605052594043","0.0316947345760384","0.0488262759427702","3"
"FDP","1986","Full Time","Rural Area","13","","","","3"
"FDP","1986","Part Time","Urban Area","16","","","","3"
"FDP","1986","Not Working","Urban Area","49","0.034657644856522","0.0256528533433496","0.0436624363696945","3"
"FDP","1986","Not Working","Rural Area","15","","","","3"
"FDP","1986","Part Time","Rural Area","2","","","","3"
"NPD Combination","1986","Full Time","Rural Area","","","","","6"
"NPD Combination","1986","Not Working","Urban Area","","","","","6"
"NPD Combination","1986","Part Time","Rural Area","","","","","6"
"NPD Combination","1986","Full Time","Urban Area","","","","","6"
"NPD Combination","1986","Part Time","Urban Area","","","","","6"
"NPD Combination","1986","Not Working","Rural Area","","","","","6"
"Other","1986","Full Time","Urban Area","12","","","","8"
"Other","1986","Full Time","Rural Area","2","","","","8"
"Other","1986","Part Time","Urban Area","5","","","","8"
"Other","1986","Part Time","Rural Area","","","","","8"
"Other","1986","Not Working","Urban Area","7","","","","8"
"Other","1986","Not Working","Rural Area","3","","","","8"
"PDS/Linke","1986","Full Time","Urban Area","","","","","5"
"PDS/Linke","1986","Full Time","Rural Area","","","","","5"
"PDS/Linke","1986","Part Time","Urban Area","","","","","5"
"PDS/Linke","1986","Part Time","Rural Area","","","","","5"
"PDS/Linke","1986","Not Working","Urban Area","","","","","5"
"PDS/Linke","1986","Not Working","Rural Area","","","","","5"
"SPD","1986","Part Time","Urban Area","364","0.471092476651301","0.434782770246945","0.507402183055657","2"
"SPD","1986","Full Time","Urban Area","1091","0.496734477648119","0.474946802495442","0.518522152800797","2"
"SPD","1986","Part Time","Rural Area","87","0.406761931220329","0.340946783428751","0.472577079011907","2"
"SPD","1986","Full Time","Rural Area","211","0.388158080620132","0.345227237100811","0.431088924139453","2"
"SPD","1986","Not Working","Rural Area","192","0.423096837286819","0.376722662370057","0.469471012203581","2"
