"party","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","16-34 y.","West Germany","","","","","7"
"AfD","1984","16-34 y.","East Germany","","","","","7"
"AfD","1984","35-65 y.","West Germany","","","","","7"
"AfD","1984","35-65 y.","East Germany","","","","","7"
"AfD","1984","66 and older","East Germany","","","","","7"
"AfD","1984","66 and older","West Germany","","","","","7"
"CDU/CSU","1984","16-34 y.","East Germany","","","","","2"
"CDU/CSU","1984","16-34 y.","West Germany","657","0.359459224197489","0.33892664265969","0.379991805735288","2"
"CDU/CSU","1984","35-65 y.","West Germany","1535","0.475772082622531","0.459362230431891","0.492181934813171","2"
"CDU/CSU","1984","66 and older","West Germany","418","0.526588188816566","0.491571290466167","0.561605087166964","2"
"CDU/CSU","1984","35-65 y.","East Germany","","","","","2"
"CDU/CSU","1984","66 and older","East Germany","","","","","2"
"FDP","1984","16-34 y.","East Germany","","","","","3"
"FDP","1984","35-65 y.","West Germany","112","0.0341473440889577","0.028180028265456","0.0401146599124594","3"
"FDP","1984","16-34 y.","West Germany","38","0.0191704039438231","0.0133028409327327","0.0250379669549135","3"
"FDP","1984","35-65 y.","East Germany","","","","","3"
"FDP","1984","66 and older","West Germany","31","0.0411921339780343","0.0272542927196316","0.0551299752364371","3"
"FDP","1984","66 and older","East Germany","","","","","3"
"Grüne","1984","16-34 y.","West Germany","332","0.158845375398821","0.143204157895731","0.174486592901911","4"
"Grüne","1984","16-34 y.","East Germany","","","","","4"
"Grüne","1984","35-65 y.","West Germany","92","0.0216138349424047","0.0168356144570105","0.0263920554277988","4"
"Grüne","1984","35-65 y.","East Germany","","","","","4"
"Grüne","1984","66 and older","West Germany","7","","","","4"
"Grüne","1984","66 and older","East Germany","","","","","4"
"NPD","1984","16-34 y.","West Germany","","","","","6"
"NPD","1984","66 and older","West Germany","","","","","6"
"NPD","1984","16-34 y.","East Germany","","","","","6"
"NPD","1984","35-65 y.","East Germany","","","","","6"
"NPD","1984","66 and older","East Germany","","","","","6"
"NPD","1984","35-65 y.","West Germany","","","","","6"
"Other","1984","16-34 y.","West Germany","19","","","","8"
"Other","1984","16-34 y.","East Germany","","","","","8"
"Other","1984","35-65 y.","West Germany","15","","","","8"
"Other","1984","35-65 y.","East Germany","","","","","8"
"Other","1984","66 and older","West Germany","6","","","","8"
"Other","1984","66 and older","East Germany","","","","","8"
"PDS/Linke","1984","16-34 y.","East Germany","","","","","5"
"PDS/Linke","1984","35-65 y.","East Germany","","","","","5"
"PDS/Linke","1984","16-34 y.","West Germany","","","","","5"
"PDS/Linke","1984","35-65 y.","West Germany","","","","","5"
"PDS/Linke","1984","66 and older","West Germany","","","","","5"
"PDS/Linke","1984","66 and older","East Germany","","","","","5"
"SPD","1984","16-34 y.","West Germany","1052","0.452870601358268","0.431570707508822","0.474170495207715","1"
"SPD","1984","16-34 y.","East Germany","","","","","1"
"SPD","1984","35-65 y.","West Germany","1804","0.464752496808399","0.448364219277352","0.481140774339447","1"
"SPD","1984","35-65 y.","East Germany","","","","","1"
"SPD","1984","66 and older","West Germany","319","0.416542191829342","0.381967620746065","0.451116762912619","1"
"SPD","1984","66 and older","East Germany","","","","","1"
"AfD","1985","35-65 y.","West Germany","","","","","7"
"AfD","1985","35-65 y.","East Germany","","","","","7"
"AfD","1985","16-34 y.","West Germany","","","","","7"
"AfD","1985","16-34 y.","East Germany","","","","","7"
"AfD","1985","66 and older","West Germany","","","","","7"
"AfD","1985","66 and older","East Germany","","","","","7"
"CDU/CSU","1985","16-34 y.","West Germany","572","0.348759832383631","0.327083991266894","0.370435673500368","2"
"CDU/CSU","1985","16-34 y.","East Germany","","","","","2"
"CDU/CSU","1985","35-65 y.","West Germany","1386","0.466075277594412","0.448887810359146","0.483262744829677","2"
"CDU/CSU","1985","35-65 y.","East Germany","","","","","2"
"CDU/CSU","1985","66 and older","West Germany","367","0.527734079243518","0.490266401381584","0.565201757105451","2"
"CDU/CSU","1985","66 and older","East Germany","","","","","2"
"FDP","1985","16-34 y.","West Germany","46","0.0256010919863505","0.01841753107734","0.032784652895361","3"
"FDP","1985","16-34 y.","East Germany","","","","","3"
"FDP","1985","35-65 y.","West Germany","116","0.0392422592128459","0.032552233580301","0.0459322848453908","3"
"FDP","1985","35-65 y.","East Germany","","","","","3"
"FDP","1985","66 and older","West Germany","36","0.0581276584652704","0.0405668971510239","0.075688419779517","3"
"FDP","1985","66 and older","East Germany","","","","","3"
"Grüne","1985","16-34 y.","East Germany","","","","","4"
"Grüne","1985","16-34 y.","West Germany","301","0.164600858033466","0.147735125879786","0.181466590187147","4"
