"party","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","(Married) couple without C. ","Female","","","","","7"
"AfD","1984","Couple + C. LE 16 ","Male","","","","","7"
"AfD","1984","1-pers.-HH","Male","","","","","7"
"AfD","1984","1-pers.-HH","Female","","","","","7"
"AfD","1984","Single parent ","Male","","","","","7"
"AfD","1984","Single parent ","Female","","","","","7"
"AfD","1984","Couple + C. GT 16 ","Male","","","","","7"
"AfD","1984","(Married) couple without C. ","Male","","","","","7"
"AfD","1984","Couple + C. LE 16 ","Female","","","","","7"
"AfD","1984","Couple + C. GT 16 ","Female","","","","","7"
"AfD","1984","Couple + C. LE and GT 16","Male","","","","","7"
"AfD","1984","Couple + C. LE and GT 16","Female","","","","","7"
"CDU/CSU","1984","Single parent ","Male","37","0.411731982424494","0.316688049491025","0.506775915357962","2"
"CDU/CSU","1984","Single parent ","Female","63","0.368831945956933","0.300045327740951","0.437618564172915","2"
"CDU/CSU","1984","(Married) couple without C. ","Female","324","0.447900813888402","0.412639305115547","0.483162322661258","2"
"CDU/CSU","1984","Couple + C. LE 16 ","Male","314","0.410692806408171","0.378170370035877","0.443215242780465","2"
"CDU/CSU","1984","1-pers.-HH","Male","101","0.374574372640293","0.318083224218839","0.431065521061747","2"
"CDU/CSU","1984","1-pers.-HH","Female","209","0.478799693013056","0.433099186732116","0.524500199293996","2"
"CDU/CSU","1984","(Married) couple without C. ","Male","359","0.44918849999889","0.415670451616088","0.482706548381693","2"
"CDU/CSU","1984","Couple + C. GT 16 ","Male","239","0.440579675308751","0.400789225486123","0.480370125131379","2"
"CDU/CSU","1984","Couple + C. LE 16 ","Female","264","0.406726436401415","0.371067940047569","0.442384932755261","2"
"CDU/CSU","1984","Couple + C. GT 16 ","Female","179","0.461071346249493","0.413955871960867","0.508186820538119","2"
"CDU/CSU","1984","Couple + C. LE and GT 16","Female","139","0.527637808949655","0.472063667461103","0.583211950438207","2"
"CDU/CSU","1984","Couple + C. LE and GT 16","Male","168","0.509803766228806","0.462663424933707","0.556944107523905","2"
"FDP","1984","Couple + C. GT 16 ","Female","7","","","","3"
"FDP","1984","Couple + C. LE and GT 16","Male","10","","","","3"
"FDP","1984","Couple + C. LE 16 ","Female","21","","","","3"
"FDP","1984","Couple + C. GT 16 ","Male","14","","","","3"
"FDP","1984","Couple + C. LE and GT 16","Female","10","","","","3"
"FDP","1984","1-pers.-HH","Male","10","","","","3"
"FDP","1984","1-pers.-HH","Female","19","","","","3"
"FDP","1984","(Married) couple without C. ","Male","31","0.0402652812060214","0.0270186977284861","0.0535118646835567","3"
"FDP","1984","Couple + C. LE 16 ","Male","31","0.0401882153289252","0.0272045876605614","0.0531718429972891","3"
"FDP","1984","(Married) couple without C. ","Female","16","","","","3"
"FDP","1984","Single parent ","Male","4","","","","3"
"FDP","1984","Single parent ","Female","4","","","","3"
"NPD","1984","Couple + C. LE 16 ","Female","","","","","6"
"NPD","1984","(Married) couple without C. ","Female","","","","","6"
"NPD","1984","1-pers.-HH","Female","","","","","6"
"NPD","1984","Single parent ","Male","","","","","6"
"NPD","1984","Couple + C. LE 16 ","Male","","","","","6"
"NPD","1984","Couple + C. GT 16 ","Male","","","","","6"
"NPD","1984","Couple + C. GT 16 ","Female","","","","","6"
"NPD","1984","Couple + C. LE and GT 16","Male","","","","","6"
"NPD","1984","Couple + C. LE and GT 16","Female","","","","","6"
"NPD","1984","Single parent ","Female","","","","","6"
"NPD","1984","1-pers.-HH","Male","","","","","6"
"NPD","1984","(Married) couple without C. ","Male","","","","","6"
"Other","1984","1-pers.-HH","Male","6","","","","8"
"Other","1984","1-pers.-HH","Female","2","","","","8"
"Other","1984","(Married) couple without C. ","Male","8","","","","8"
"Other","1984","(Married) couple without C. ","Female","4","","","","8"
"Other","1984","Single parent ","Male","2","","","","8"
"Other","1984","Single parent ","Female","3","","","","8"
"Other","1984","Couple + C. LE 16 ","Male","3","","","","8"
"Other","1984","Couple + C. LE 16 ","Female","","","","","8"
"Other","1984","Couple + C. GT 16 ","Male","4","","","","8"
"Other","1984","Couple + C. GT 16 ","Female","3","","","","8"
"Other","1984","Couple + C. LE and GT 16","Male","3","","","","8"
"Other","1984","Couple + C. LE and GT 16","Female","1","","","","8"
"PDS/Linke","1984","Single parent ","Male","","","","","5"
"PDS/Linke","1984","(Married) couple without C. ","Female","","","","","5"
"PDS/Linke","1984","Couple + C. LE and GT 16","Male","","","","","5"
"PDS/Linke","1984","Single parent ","Female","","","","","5"
"PDS/Linke","1984","Couple + C. GT 16 ","Female","","","","","5"
"PDS/Linke","1984","Couple + C. LE 16 ","Female","","","","","5"
"PDS/Linke","1984","Couple + C. GT 16 ","Male","","","","","5"
"PDS/Linke","1984","Couple + C. LE 16 ","Male","","","","","5"
"PDS/Linke","1984","1-pers.-HH","Male","","","","","5"
"PDS/Linke","1984","1-pers.-HH","Female","","","","","5"
"PDS/Linke","1984","(Married) couple without C. ","Male","","","","","5"
"PDS/Linke","1984","Couple + C. LE and GT 16","Female","","","","","5"
"SPD","1984","1-pers.-HH","Female","201","0.430448674863154","0.385151734384613","0.475745615341696","1"
"SPD","1984","(Married) couple without C. ","Male","414","0.466652061525287","0.433034607914401","0.500269515136173","1"
"SPD","1984","Couple + C. LE 16 ","Female","403","0.507591277138943","0.471299831288639","0.543882722989246","1"
"SPD","1984","Couple + C. LE and GT 16","Female","133","0.364264074503726","0.31069504336052","0.417833105646931","1"
"SPD","1984","1-pers.-HH","Male","140","0.468889700079679","0.410645693103097","0.527133707056261","1"
"SPD","1984","(Married) couple without C. ","Female","377","0.478155182714197","0.442734532212356","0.513575833216038","1"
"SPD","1984","Single parent ","Male","54","0.481639855546286","0.385144482701854","0.578135228390719","1"
"SPD","1984","Single parent ","Female","97","0.477892520713982","0.40667903185552","0.549106009572443","1"
"SPD","1984","Couple + C. LE 16 ","Male","492","0.504957312222737","0.471904964636996","0.538009659808479","1"
"SPD","1984","Couple + C. GT 16 ","Male","296","0.459145940004336","0.419205493071277","0.499086386937395","1"
"SPD","1984","Couple + C. GT 16 ","Female","209","0.454500528810785","0.407437678456136","0.501563379165434","1"
"SPD","1984","Couple + C. LE and GT 16","Male","203","0.36830647444308","0.322821902999329","0.413791045886831","1"
"AfD","1985","Couple + C. LE 16 ","Male","","","","","7"
"AfD","1985","(Married) couple without C. ","Female","","","","","7"
"AfD","1985","Single parent ","Male","","","","","7"
"AfD","1985","Single parent ","Female","","","","","7"
"AfD","1985","1-pers.-HH","Male","","","","","7"
"AfD","1985","1-pers.-HH","Female","","","","","7"
"AfD","1985","(Married) couple without C. ","Male","","","","","7"
"AfD","1985","Couple + C. LE 16 ","Female","","","","","7"
"AfD","1985","Couple + C. GT 16 ","Male","","","","","7"
"AfD","1985","Couple + C. GT 16 ","Female","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","Male","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","Female","","","","","7"
"CDU/CSU","1985","Single parent ","Male","38","0.464527818799272","0.363705081415165","0.565350556183378","2"
"CDU/CSU","1985","Single parent ","Female","57","0.39905127865432","0.321708318171587","0.476394239137053","2"
"CDU/CSU","1985","(Married) couple without C. ","Female","302","0.455266914614298","0.418001071169724","0.492532758058872","2"
"CDU/CSU","1985","Couple + C. LE 16 ","Male","262","0.387693407446423","0.353413005449411","0.421973809443435","2"
"CDU/CSU","1985","1-pers.-HH","Male","88","0.374851194705491","0.315551936479803","0.434150452931179","2"
"CDU/CSU","1985","1-pers.-HH","Female","166","0.440202575573133","0.391615848783706","0.48878930236256","2"
"CDU/CSU","1985","(Married) couple without C. ","Male","337","0.451713730909015","0.416900158277334","0.486527303540697","2"
"CDU/CSU","1985","Couple + C. GT 16 ","Male","242","0.461386448604409","0.420990183530516","0.501782713678301","2"
"CDU/CSU","1985","Couple + C. LE 16 ","Female","218","0.393741114208346","0.355528855391678","0.431953373025015","2"
"CDU/CSU","1985","Couple + C. GT 16 ","Female","182","0.444508870542183","0.398078672841394","0.490939068242972","2"
"CDU/CSU","1985","Couple + C. LE and GT 16","Female","114","0.548536796235637","0.487095285870066","0.609978306601208","2"
"CDU/CSU","1985","Couple + C. LE and GT 16","Male","155","0.507220256097329","0.456140489994996","0.558300022199662","2"
"FDP","1985","Couple + C. GT 16 ","Female","11","","","","3"
"FDP","1985","Couple + C. LE and GT 16","Male","14","","","","3"
"FDP","1985","Couple + C. LE 16 ","Female","20","","","","3"
"FDP","1985","Couple + C. GT 16 ","Male","17","","","","3"
"FDP","1985","Couple + C. LE and GT 16","Female","3","","","","3"
"FDP","1985","(Married) couple without C. ","Male","42","0.0558673104830426","0.039801277201792","0.0719333437642931","3"
"FDP","1985","1-pers.-HH","Male","6","","","","3"
"FDP","1985","1-pers.-HH","Female","30","0.0745002175974504","0.0487996428410877","0.100200792353813","3"
"FDP","1985","Couple + C. LE 16 ","Male","26","","","","3"
"FDP","1985","(Married) couple without C. ","Female","17","","","","3"
"FDP","1985","Single parent ","Female","3","","","","3"
"FDP","1985","Single parent ","Male","","","","","3"
"NPD","1985","Couple + C. LE 16 ","Female","","","","","6"
"NPD","1985","(Married) couple without C. ","Female","","","","","6"
"NPD","1985","1-pers.-HH","Male","","","","","6"
"NPD","1985","1-pers.-HH","Female","","","","","6"
"NPD","1985","Single parent ","Male","","","","","6"
"NPD","1985","Couple + C. LE 16 ","Male","","","","","6"
"NPD","1985","Couple + C. GT 16 ","Male","","","","","6"
"NPD","1985","Couple + C. GT 16 ","Female","","","","","6"
"NPD","1985","Couple + C. LE and GT 16","Male","","","","","6"
"NPD","1985","Couple + C. LE and GT 16","Female","","","","","6"
"NPD","1985","Single parent ","Female","","","","","6"
"NPD","1985","(Married) couple without C. ","Male","","","","","6"
"Other","1985","(Married) couple without C. ","Female","3","","","","8"
"Other","1985","Single parent ","Male","1","","","","8"
"Other","1985","Single parent ","Female","","","","","8"
"Other","1985","1-pers.-HH","Male","3","","","","8"
"Other","1985","1-pers.-HH","Female","","","","","8"
"Other","1985","Couple + C. LE 16 ","Male","2","","","","8"
"Other","1985","Couple + C. GT 16 ","Male","9","","","","8"
"Other","1985","Couple + C. GT 16 ","Female","1","","","","8"
"Other","1985","Couple + C. LE and GT 16","Male","3","","","","8"
"Other","1985","Couple + C. LE and GT 16","Female","2","","","","8"
"Other","1985","(Married) couple without C. ","Male","8","","","","8"
"Other","1985","Couple + C. LE 16 ","Female","2","","","","8"
"PDS/Linke","1985","(Married) couple without C. ","Female","","","","","5"
"PDS/Linke","1985","Single parent ","Male","","","","","5"
"PDS/Linke","1985","Single parent ","Female","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","Female","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","Male","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","Male","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","Female","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","Male","","","","","5"
"PDS/Linke","1985","1-pers.-HH","Male","","","","","5"
"PDS/Linke","1985","1-pers.-HH","Female","","","","","5"
"PDS/Linke","1985","(Married) couple without C. ","Male","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","Female","","","","","5"
"SPD","1985","1-pers.-HH","Male","130","0.478007138531016","0.416817543141301","0.53919673392073","1"
"SPD","1985","1-pers.-HH","Female","182","0.44075133402851","0.392158167448369","0.489344500608651","1"
"SPD","1985","(Married) couple without C. ","Male","364","0.445005536006908","0.410240691193058","0.479770380820757","1"
"SPD","1985","Single parent ","Female","83","0.505374393165872","0.426409755836197","0.584339030495547","1"
"SPD","1985","Couple + C. LE 16 ","Male","440","0.514256056627558","0.479091055544452","0.549421057710665","1"
"SPD","1985","Couple + C. LE 16 ","Female","340","0.487319674497167","0.448226713377969","0.526412635616365","1"
"SPD","1985","Couple + C. LE and GT 16","Female","114","0.366824120910868","0.307321109679921","0.426327132141815","1"
"SPD","1985","Couple + C. GT 16 ","Male","274","0.426353947817671","0.386278599394809","0.466429296240534","1"
"SPD","1985","(Married) couple without C. ","Female","324","0.465509754467691","0.428182992443307","0.502836516492074","1"
"SPD","1985","Single parent ","Male","49","0.465091814359322","0.36426103264788","0.565922596070763","1"
"SPD","1985","Couple + C. GT 16 ","Female","207","0.440753908553024","0.394364234862318","0.48714358224373","1"
"SPD","1985","Couple + C. LE and GT 16","Male","170","0.367259514637843","0.318007554273094","0.416511475002592","1"
"AfD","1986","(Married) couple without C. ","Female","","","","","7"
"AfD","1986","Single parent ","Male","","","","","7"
"AfD","1986","Single parent ","Female","","","","","7"
"AfD","1986","Couple + C. LE 16 ","Male","","","","","7"
"AfD","1986","1-pers.-HH","Male","","","","","7"
"AfD","1986","1-pers.-HH","Female","","","","","7"
"AfD","1986","(Married) couple without C. ","Male","","","","","7"
"AfD","1986","Couple + C. LE 16 ","Female","","","","","7"
"AfD","1986","Couple + C. GT 16 ","Male","","","","","7"
"AfD","1986","Couple + C. GT 16 ","Female","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","Male","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","Female","","","","","7"
"CDU/CSU","1986","Single parent ","Female","52","0.430817358821929","0.347897180442305","0.513737537201553","2"
"CDU/CSU","1986","Single parent ","Male","32","0.389965099800564","0.285661653190686","0.494268546410442","2"
"CDU/CSU","1986","(Married) couple without C. ","Female","288","0.454175904224891","0.415958367648192","0.492393440801589","2"
"CDU/CSU","1986","Couple + C. LE 16 ","Male","233","0.382924641802487","0.346733087655213","0.419116195949762","2"
"CDU/CSU","1986","1-pers.-HH","Female","159","0.464492545983089","0.413946821635169","0.515038270331008","2"
"CDU/CSU","1986","(Married) couple without C. ","Male","316","0.441132200275743","0.405333703069815","0.47693069748167","2"
"CDU/CSU","1986","Couple + C. LE 16 ","Female","206","0.391768863049948","0.352144426812124","0.431393299287772","2"
"CDU/CSU","1986","Couple + C. GT 16 ","Male","260","0.481841696279931","0.441827131234934","0.521856261324927","2"
"CDU/CSU","1986","Couple + C. GT 16 ","Female","210","0.476805827230922","0.431603177231369","0.522008477230474","2"
"CDU/CSU","1986","1-pers.-HH","Male","80","0.341324548750764","0.282782580233333","0.399866517268194","2"
"CDU/CSU","1986","Couple + C. LE and GT 16","Male","134","0.478440421748401","0.426476752535883","0.530404090960919","2"
"CDU/CSU","1986","Couple + C. LE and GT 16","Female","114","0.555161001071413","0.491624241398857","0.618697760743968","2"
"FDP","1986","Couple + C. LE and GT 16","Male","11","","","","3"
"FDP","1986","1-pers.-HH","Male","7","","","","3"
"FDP","1986","1-pers.-HH","Female","15","","","","3"
"FDP","1986","Couple + C. LE 16 ","Female","13","","","","3"
"FDP","1986","Couple + C. GT 16 ","Female","13","","","","3"
"FDP","1986","(Married) couple without C. ","Male","31","0.0469711112439011","0.0317167396345605","0.0622254828532418","3"
"FDP","1986","(Married) couple without C. ","Female","24","","","","3"
"FDP","1986","Single parent ","Male","1","","","","3"
"FDP","1986","Couple + C. GT 16 ","Male","18","","","","3"
"FDP","1986","Couple + C. LE and GT 16","Female","2","","","","3"
"FDP","1986","Couple + C. LE 16 ","Male","24","","","","3"
"FDP","1986","Single parent ","Female","1","","","","3"
"NPD","1986","(Married) couple without C. ","Female","","","","","6"
"NPD","1986","Couple + C. LE 16 ","Female","","","","","6"
"NPD","1986","Couple + C. LE and GT 16","Female","","","","","6"
"NPD","1986","1-pers.-HH","Male","","","","","6"
"NPD","1986","1-pers.-HH","Female","","","","","6"
"NPD","1986","Single parent ","Male","","","","","6"
"NPD","1986","Single parent ","Female","","","","","6"
"NPD","1986","Couple + C. LE 16 ","Male","","","","","6"
"NPD","1986","Couple + C. GT 16 ","Male","","","","","6"
"NPD","1986","Couple + C. GT 16 ","Female","","","","","6"
"NPD","1986","Couple + C. LE and GT 16","Male","","","","","6"
"NPD","1986","(Married) couple without C. ","Male","","","","","6"
"Other","1986","(Married) couple without C. ","Female","3","","","","8"
"Other","1986","Single parent ","Male","2","","","","8"
"Other","1986","Single parent ","Female","","","","","8"
