"party","year","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Male","","","","","7"
"AfD","1984","Female","","","","","7"
"CDU/CSU","1984","Female","1305","0.461583009355352","0.444073536463707","0.479092482246998","1"
"CDU/CSU","1984","Male","1305","0.44271482050749","0.425826607516702","0.459603033498278","1"
"FDP","1984","Male","104","0.0355300765636633","0.0292360968830224","0.0418240562443042","3"
"FDP","1984","Female","77","0.0270973916146422","0.0213946037770505","0.0328001794522338","3"
"NPD Combination","1984","Male","","","","","6"
"NPD Combination","1984","Female","","","","","6"
"Other","1984","Male","27","","","","8"
"Other","1984","Female","13","","","","8"
"PDS/Linke","1984","Female","","","","","5"
"PDS/Linke","1984","Male","","","","","5"
"SPD","1984","Female","1507","0.449991391235304","0.432518063080837","0.467464719389771","2"
"SPD","1984","Male","1668","0.455312457465437","0.43838033471831","0.472244580212563","2"
"AfD","1985","Male","","","","","7"
"AfD","1985","Female","","","","","7"
"CDU/CSU","1985","Female","1136","0.451089824395433","0.432468209399323","0.469711439391542","1"
"CDU/CSU","1985","Male","1189","0.438186415340836","0.420525668490961","0.455847162190711","1"
"FDP","1985","Male","112","0.0409811067789052","0.0339246137681899","0.0480375997896205","3"
"FDP","1985","Female","86","0.0368855332150891","0.0298320737741027","0.0439389926560756","3"
"NPD Combination","1985","Male","","","","","6"
"NPD Combination","1985","Female","","","","","6"
"Other","1985","Male","27","","","","8"
"Other","1985","Female","9","","","","8"
"PDS/Linke","1985","Male","","","","","5"
"PDS/Linke","1985","Female","","","","","5"
"SPD","1985","Male","1492","0.448142443554298","0.430441149025818","0.465843738082779","2"
"SPD","1985","Female","1316","0.447929113390831","0.429319504102828","0.466538722678835","2"
"AfD","1986","Female","","","","","7"
"AfD","1986","Male","","","","","7"
"CDU/CSU","1986","Female","1096","0.458327334991776","0.439175175186926","0.477479494796626","1"
"CDU/CSU","1986","Male","1108","0.425414331497245","0.407354624019114","0.443474038975376","1"
"FDP","1986","Male","100","0.0388423759799578","0.0317844441387494","0.0459003078211663","3"
"FDP","1986","Female","70","0.0309212084306196","0.0242674168880038","0.0375749999732354","3"
"NPD Combination","1986","Female","","","","","6"
"NPD Combination","1986","Male","","","","","6"
"Other","1986","Male","22","","","","8"
"Other","1986","Female","7","","","","8"
"PDS/Linke","1986","Male","","","","","5"
"PDS/Linke","1986","Female","","","","","5"
"SPD","1986","Female","1235","0.442987436971603","0.423893757961379","0.462081115981827","2"
