"party","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","Rural Area","Male","","","","","7"
"AfD","1985","Urban Area","Male","","","","","7"
"AfD","1985","Urban Area","Female","","","","","7"
"AfD","1985","Rural Area","Female","","","","","7"
"CDU/CSU","1985","Rural Area","Male","322","0.531481011988152","0.492970817795678","0.569991206180625","2"
"CDU/CSU","1985","Urban Area","Male","867","0.409656468945804","0.389928417378384","0.429384520513225","2"
"CDU/CSU","1985","Urban Area","Female","840","0.424307374430731","0.403546076555614","0.445068672305849","2"
"CDU/CSU","1985","Rural Area","Female","296","0.543103109975937","0.502064738226711","0.584141481725163","2"
"FDP","1985","Urban Area","Male","94","0.0435757596365773","0.0353860283526075","0.0517654909205472","3"
"FDP","1985","Urban Area","Female","70","0.0381539169974106","0.0301067830171652","0.0462010509776559","3"
"FDP","1985","Rural Area","Male","18","","","","3"
"FDP","1985","Rural Area","Female","16","","","","3"
"Grüne","1985","Urban Area","Male","186","0.0701531159398982","0.0599071930207319","0.0803990388590646","4"
"Grüne","1985","Urban Area","Female","173","0.0685129851553416","0.0579010710941383","0.079124899216545","4"
"Grüne","1985","Rural Area","Male","26","","","","4"
"Grüne","1985","Rural Area","Female","23","","","","4"
"NPD","1985","Urban Area","Male","","","","","6"
"NPD","1985","Urban Area","Female","","","","","6"
"NPD","1985","Rural Area","Male","","","","","6"
"NPD","1985","Rural Area","Female","","","","","6"
"Other","1985","Rural Area","Male","6","","","","8"
"Other","1985","Rural Area","Female","2","","","","8"
"Other","1985","Urban Area","Male","21","","","","8"
"Other","1985","Urban Area","Female","7","","","","8"
"PDS/Linke","1985","Rural Area","Male","","","","","5"
"PDS/Linke","1985","Rural Area","Female","","","","","5"
"PDS/Linke","1985","Urban Area","Male","","","","","5"
"PDS/Linke","1985","Urban Area","Female","","","","","5"
"SPD","1985","Urban Area","Male","1219","0.46570741525582","0.445696450297891","0.485718380213749","1"
"SPD","1985","Urban Area","Female","1087","0.465759259853312","0.444805202553724","0.486713317152899","1"
"SPD","1985","Rural Area","Male","273","0.390703956733295","0.353050372978777","0.428357540487813","1"
"SPD","1985","Rural Area","Female","229","0.386672194753562","0.346552495008454","0.42679189449867","1"
"AfD","1986","Rural Area","Male","","","","","7"
"AfD","1986","Urban Area","Male","","","","","7"
"AfD","1986","Urban Area","Female","","","","","7"
"AfD","1986","Rural Area","Female","","","","","7"
"CDU/CSU","1986","Rural Area","Male","284","0.49349868439443","0.453427628404518","0.533569740384343","2"
"CDU/CSU","1986","Urban Area","Male","824","0.405078389628199","0.384932573852865","0.425224205403534","2"
"CDU/CSU","1986","Urban Area","Female","818","0.43625314539719","0.414801284712777","0.457705006081602","2"
"CDU/CSU","1986","Rural Area","Female","278","0.534247863905739","0.492445267921695","0.576050459889783","2"
"FDP","1986","Urban Area","Female","58","0.0323501455773824","0.0246968082822811","0.0400034828724836","3"
"FDP","1986","Rural Area","Male","18","","","","3"
"FDP","1986","Rural Area","Female","12","","","","3"
"FDP","1986","Urban Area","Male","82","0.0397356214371861","0.031719378643282","0.0477518642310903","3"
"Grüne","1986","Urban Area","Female","162","0.0693783607120963","0.0583869811189075","0.0803697403052852","4"
"Grüne","1986","Urban Area","Male","165","0.0661481470765359","0.0559485437367282","0.0763477504163435","4"
"Grüne","1986","Rural Area","Male","28","","","","4"
"Grüne","1986","Rural Area","Female","30","0.0487120074589637","0.030672343257886","0.0667516716600415","4"
"NPD","1986","Urban Area","Male","","","","","6"
"NPD","1986","Urban Area","Female","","","","","6"
"NPD","1986","Rural Area","Male","","","","","6"
"NPD","1986","Rural Area","Female","","","","","6"
"Other","1986","Rural Area","Male","2","","","","8"
"Other","1986","Rural Area","Female","3","","","","8"
"Other","1986","Urban Area","Male","20","","","","8"
"Other","1986","Urban Area","Female","4","","","","8"
"PDS/Linke","1986","Rural Area","Male","","","","","5"
"PDS/Linke","1986","Rural Area","Female","","","","","5"
"PDS/Linke","1986","Urban Area","Male","","","","","5"
"PDS/Linke","1986","Urban Area","Female","","","","","5"
"SPD","1986","Urban Area","Male","1190","0.479573400892445","0.459071565856963","0.500075235927928","1"
"SPD","1986","Urban Area","Female","1011","0.459933477810045","0.438374669254321","0.48149228636577","1"
"SPD","1986","Rural Area","Male","266","0.428269761554136","0.388609845918543","0.467929677189728","1"
"SPD","1986","Rural Area","Female","224","0.384704328640973","0.343932527790457","0.42547612949149","1"
"AfD","1987","Rural Area","Male","","","","","7"
"AfD","1987","Rural Area","Female","","","","","7"
"AfD","1987","Urban Area","Female","","","","","7"
"AfD","1987","Urban Area","Male","","","","","7"
"CDU/CSU","1987","Rural Area","Male","323","0.531714487531986","0.493115564726564","0.570313410337408","2"
"CDU/CSU","1987","Urban Area","Male","903","0.416837470413756","0.397062806492652","0.436612134334861","2"
"CDU/CSU","1987","Urban Area","Female","895","0.440455700374204","0.419729931475082","0.461181469273326","2"
"CDU/CSU","1987","Rural Area","Female","298","0.542999802831825","0.502769947272109","0.583229658391542","2"
"FDP","1987","Urban Area","Male","123","0.0582756721269154","0.0488798135717593","0.0676715306820716","3"
"FDP","1987","Urban Area","Female","99","0.0525365660899952","0.0432221772017668","0.0618509549782236","3"
"FDP","1987","Rural Area","Male","32","0.0511007721188879","0.0340672540815637","0.068134290156212","3"
"FDP","1987","Rural Area","Female","24","","","","3"
"Grüne","1987","Urban Area","Female","205","0.0777794933980209","0.0665981949807031","0.0889607918153387","4"
"Grüne","1987","Rural Area","Male","32","0.0418525370317247","0.026362314792623","0.0573427592708264","4"
"Grüne","1987","Urban Area","Male","195","0.0722646090715237","0.0618796253355406","0.0826495928075068","4"
"Grüne","1987","Rural Area","Female","39","0.0466547101952554","0.029622802127983","0.0636866182625277","4"
"NPD","1987","Urban Area","Male","","","","","6"
"NPD","1987","Urban Area","Female","","","","","6"
"NPD","1987","Rural Area","Male","","","","","6"
"NPD","1987","Rural Area","Female","","","","","6"
"Other","1987","Rural Area","Male","5","","","","8"
"Other","1987","Rural Area","Female","5","","","","8"
"Other","1987","Urban Area","Male","17","","","","8"
"Other","1987","Urban Area","Female","10","","","","8"
"PDS/Linke","1987","Rural Area","Male","","","","","5"
"PDS/Linke","1987","Rural Area","Female","","","","","5"
"PDS/Linke","1987","Urban Area","Male","","","","","5"
"PDS/Linke","1987","Urban Area","Female","","","","","5"
"SPD","1987","Rural Area","Male","250","0.366821499262861","0.329541916085694","0.404101082440028","1"
"SPD","1987","Urban Area","Male","1150","0.443967459572111","0.424039785848317","0.463895133295905","1"
"SPD","1987","Urban Area","Female","995","0.424152815900099","0.403520066805449","0.444785564994748","1"
"SPD","1987","Rural Area","Female","223","0.354384388271312","0.315755274362335","0.393013502180288","1"
"AfD","1988","Rural Area","Male","","","","","7"
"AfD","1988","Rural Area","Female","","","","","7"
"AfD","1988","Urban Area","Female","","","","","7"
"AfD","1988","Urban Area","Male","","","","","7"
"CDU/CSU","1988","Rural Area","Male","247","0.453430184189","0.411825255503263","0.495035112874737","2"
"CDU/CSU","1988","Rural Area","Female","254","0.521594148017226","0.478112228467532","0.56507606756692","2"
"CDU/CSU","1988","Urban Area","Male","769","0.388266607937911","0.367952402775509","0.408580813100313","2"
"CDU/CSU","1988","Urban Area","Female","744","0.414232777535532","0.392352648498279","0.436112906572785","2"
"FDP","1988","Rural Area","Male","22","","","","3"
"FDP","1988","Rural Area","Female","21","","","","3"
"FDP","1988","Urban Area","Male","99","0.0508229118104176","0.0416679378215141","0.059977885799321","3"
"FDP","1988","Urban Area","Female","72","0.0404349448083932","0.031685494792246","0.0491843948245405","3"
"Grüne","1988","Rural Area","Male","23","","","","4"
"Grüne","1988","Urban Area","Female","153","0.0708064316303068","0.059412999571812","0.0821998636888016","4"
"Grüne","1988","Urban Area","Male","146","0.0602220097028256","0.0503058394015697","0.0701381800040815","4"
"Grüne","1988","Rural Area","Female","17","","","","4"
"NPD","1988","Rural Area","Male","","","","","6"
"NPD","1988","Urban Area","Male","","","","","6"
"NPD","1988","Urban Area","Female","","","","","6"
"NPD","1988","Rural Area","Female","","","","","6"
"Other","1988","Rural Area","Male","5","","","","8"
"Other","1988","Rural Area","Female","7","","","","8"
"Other","1988","Urban Area","Male","23","","","","8"
"Other","1988","Urban Area","Female","13","","","","8"
"PDS/Linke","1988","Rural Area","Female","","","","","5"
"PDS/Linke","1988","Rural Area","Male","","","","","5"
"PDS/Linke","1988","Urban Area","Female","","","","","5"
"PDS/Linke","1988","Urban Area","Male","","","","","5"
"SPD","1988","Rural Area","Male","253","0.456431752109386","0.41480411972393","0.498059384494842","1"
"SPD","1988","Rural Area","Female","208","0.397499314872057","0.354901131754354","0.44009749798976","1"
"SPD","1988","Urban Area","Male","1174","0.487010877998225","0.466176663619928","0.507845092376522","1"
"SPD","1988","Urban Area","Female","965","0.466945774847563","0.444785046232572","0.489106503462554","1"
"AfD","1989","Urban Area","Male","","","","","7"
"AfD","1989","Urban Area","Female","","","","","7"
"AfD","1989","Rural Area","Male","","","","","7"
"AfD","1989","Rural Area","Female","","","","","7"
"CDU/CSU","1989","Urban Area","Female","632","0.384978420135282","0.362912450037617","0.407044390232947","2"
"CDU/CSU","1989","Urban Area","Male","663","0.349705688729775","0.329576325404208","0.369835052055341","2"
"CDU/CSU","1989","Rural Area","Male","216","0.442434886633076","0.399663267640302","0.48520650562585","2"
"CDU/CSU","1989","Rural Area","Female","219","0.503863781790158","0.457872321254366","0.549855242325949","2"
"FDP","1989","Urban Area","Male","62","0.0312031972936592","0.0238641512947892","0.0385422432925292","3"
"FDP","1989","Urban Area","Female","45","0.0256457671713025","0.0184773059413916","0.0328142284012135","3"
"FDP","1989","Rural Area","Male","16","","","","3"
"FDP","1989","Rural Area","Female","16","","","","3"
"Grüne","1989","Urban Area","Male","146","0.0637886079459003","0.0534732990928582","0.0741039167989424","4"
"Grüne","1989","Rural Area","Male","19","","","","4"
"Grüne","1989","Urban Area","Female","173","0.0797126442987411","0.0674301946994161","0.0919950938980662","4"
"Grüne","1989","Rural Area","Female","20","","","","4"
"NPD","1989","Urban Area","Male","","","","","6"
"NPD","1989","Urban Area","Female","","","","","6"
"NPD","1989","Rural Area","Male","","","","","6"
"NPD","1989","Rural Area","Female","","","","","6"
"Other","1989","Urban Area","Male","102","0.054400389523944","0.04482672158936","0.063974057458528","8"
"Other","1989","Urban Area","Female","45","0.0266942927303458","0.019384694623995","0.0340038908366966","8"
"Other","1989","Rural Area","Male","25","","","","8"
"Other","1989","Rural Area","Female","14","","","","8"
"PDS/Linke","1989","Urban Area","Male","","","","","5"
"PDS/Linke","1989","Urban Area","Female","","","","","5"
"PDS/Linke","1989","Rural Area","Male","","","","","5"
"PDS/Linke","1989","Rural Area","Female","","","","","5"
"SPD","1989","Urban Area","Male","1183","0.500902116506722","0.479796744561985","0.522007488451459","1"
"SPD","1989","Rural Area","Male","242","0.443882844620571","0.401096957828218","0.486668731412924","1"
"SPD","1989","Rural Area","Female","185","0.379614557683095","0.334974741965932","0.424254373400258","1"
"SPD","1989","Urban Area","Female","973","0.482968875664329","0.460307953925684","0.505629797402973","1"
"AfD","1990","Urban Area","Male","","","","","7"
"AfD","1990","Urban Area","Female","","","","","7"
"AfD","1990","Rural Area","Male","","","","","7"
"AfD","1990","Rural Area","Female","","","","","7"
